["(mc.note LIKE '%2004%' OR mc.note LIKE '%USA%')", "(mi.info LIKE '%match%' OR mi.info LIKE '%C%')", "ci.note IN ('(uncredited)', '(uncredited)', '(uncredited)', '(uncredited)', '(uncredited)')", "cn.country_code = '[us]'", "it.info = 'genres'", "n.gender = 'm' AND n.name LIKE '%der%'", "rt.role = 'actor'", "t.production_year >= 1996 AND t.production_year <= 2007"],
["(mc.note LIKE '%theatrical%' OR mc.note LIKE '%DVD%')", "(mi.info LIKE '%o%' OR mi.info LIKE '%Black%')", "ci.note IN ('(voice)', '(executive producer)', '(executive producer)', '(executive producer)', '(voice)')", "cn.country_code = '[us]'", "it.info = 'release dates'", "n.gender = 'm' AND n.name LIKE '%Albert%'", "rt.role = 'actor'", "t.production_year >= 1932 AND t.production_year <= 2012"],
["(mc.note LIKE '%theatrical%' OR mc.note LIKE '%USA%')", "(mi.info LIKE '%o%' OR mi.info LIKE '%A%')", "ci.note IN ('(writer)', '(archive footage)', '(archive footage)', '(writer)', '(archive footage)')", "cn.country_code = '[us]'", "it.info = 'release dates'", "n.gender = 'm' AND n.name LIKE '%West%'", "rt.role = 'actor'", "t.production_year >= 1985 AND t.production_year <= 2003"],
["(mc.note LIKE '%USA%' OR mc.note LIKE '%worldwide%')", "(mi.info LIKE '%l%' OR mi.info LIKE '%o%')", "ci.note IN ('(writer)', '(voice)', '(voice)', '(executive producer)', '(producer) (as Fred DeCordova)')", "cn.country_code = '[us]'", "it.info = 'release dates'", "n.gender = 'm' AND n.name LIKE '%Dan%'", "rt.role = 'actor'", "t.production_year >= 1929 AND t.production_year <= 2012"],
["(mc.note LIKE '%2012%' OR mc.note LIKE '%2006%')", "(mi.info LIKE '%t%' OR mi.info LIKE '%35%')", "ci.note IN ('(uncredited)', '(uncredited)', '(uncredited)', '(uncredited)', '(uncredited)')", "cn.country_code = '[us]'", "it.info = 'release dates'", "n.gender = 'm' AND n.name LIKE '%Maria%'", "rt.role = 'actor'", "t.production_year >= 1941 AND t.production_year <= 1987"],
["(mc.note LIKE '%media%' OR mc.note LIKE '%USA%')", "(mi.info LIKE '%S%' OR mi.info LIKE '%What%')", "ci.note IN ('(uncredited)', '(uncredited)', '(uncredited)', '(uncredited)', '(uncredited)')", "cn.country_code = '[us]'", "it.info = 'countries'", "n.gender = 'm' AND n.name LIKE '%Brian%'", "rt.role = 'actor'", "t.production_year >= 2010 AND t.production_year <= 2011"],
["(mc.note LIKE '%association%' OR mc.note LIKE '%USA%')", "(mi.info LIKE '%o%' OR mi.info LIKE '%A%')", "ci.note IN ('(voice)', '(co-executive producer)', '(producer)', '(archive footage)', '(archive footage)')", "cn.country_code = '[us]'", "it.info = 'release dates'", "n.gender = 'm' AND n.name LIKE '%Godfrey%'", "rt.role = 'actor'", "t.production_year >= 1956 AND t.production_year <= 1981"],
["(mc.note LIKE '%t%' OR mc.note LIKE '%c%')", "(mi.info LIKE '%o%' OR mi.info LIKE '%HD%')", "ci.note IN ('(uncredited)', '(script)', '(singing voice)', '(as Mike Macecsko)', '(uncredited)')", "cn.country_code = '[hu]'", "it.info = 'release dates'", "n.gender = 'f' AND n.name LIKE '%Patty%'", "rt.role = 'actress'", "t.production_year >= 1992 AND t.production_year <= 2013"],
["(mc.note LIKE '%2004%' OR mc.note LIKE '%USA%')", "(mi.info LIKE '%with%' OR mi.info LIKE '%o%')", "ci.note IN ('(writer)', '(voice)', '(voice)', '(voice)', '(writer)')", "cn.country_code = '[us]'", "it.info = 'genres'", "n.gender = 'm' AND n.name LIKE '%Roger%'", "rt.role = 'actor'", "t.production_year >= 1985 AND t.production_year <= 2010"],
["(mc.note LIKE '%USA%' OR mc.note LIKE '%s%')", "(mi.info LIKE '%U%' OR mi.info LIKE '%l%')", "ci.note IN ('(as miguel Ã¡ngel rellÃ¡n)', '(SmartBoard operator)', '(uncredited)', '(voice)', '(location scout)')", "cn.country_code = '[us]'", "it.info = 'countries'", "n.gender = 'm' AND n.name LIKE '%Ho%'", "rt.role = 'actor'", "t.production_year >= 1983 AND t.production_year <= 2009"],
["(mc.note LIKE '%TV%' OR mc.note LIKE '%Finland%')", "(mi.info LIKE '%A%' OR mi.info LIKE '%can%')", "ci.note IN ('(producer)', '(production assistant)', '(voice)', '(voice)', '(voice)')", "cn.country_code = '[us]'", "it.info = 'release dates'", "n.gender = 'm' AND n.name LIKE '%Stewart%'", "rt.role = 'actor'", "t.production_year >= 1979 AND t.production_year <= 2006"],
