["ci.note = '(story)'", "cn.country_code = '[us]'", "mc.note LIKE '%in%'", "mc.note NOT LIKE '%2005%'", "n.name LIKE '%Brown%'", "n.name NOT LIKE '%Williams%'", "rt.role = 'writer'"],
["ci.note = '(production assistant)'", "cn.country_code = '[us]'", "mc.note LIKE '%media%'", "mc.note NOT LIKE '%in%'", "n.name LIKE '%Boyd%'", "n.name NOT LIKE '%Sasha%'", "rt.role = 'miscellaneous crew'"],
["ci.note = '(writer)'", "cn.country_code = '[us]'", "mc.note LIKE '%USA%'", "mc.note NOT LIKE '%I%'", "n.name LIKE '%Tress%'", "n.name NOT LIKE '%Dominique%'", "rt.role = 'writer'"],
["ci.note = '(voice)'", "cn.country_code = '[us]'", "mc.note LIKE '%DVD%'", "mc.note NOT LIKE '%t%'", "n.name LIKE '%Singh%'", "n.name NOT LIKE '%Gaio%'", "rt.role = 'actor'"],
["ci.note = '(uncredited)'", "cn.country_code = '[us]'", "mc.note LIKE '%USA%'", "mc.note NOT LIKE '%2005%'", "n.name LIKE '%Rob%'", "n.name NOT LIKE '%Yanaina%'", "rt.role = 'writer'"],
["ci.note = '(associate producer)'", "cn.country_code = '[ph]'", "mc.note LIKE '%in%'", "mc.note NOT LIKE '%2009%'", "n.name LIKE '%T%'", "n.name NOT LIKE '%Kimson%'", "rt.role = 'producer'"],
["ci.note = '(executive producer)'", "cn.country_code = '[us]'", "mc.note LIKE '%USA%'", "mc.note NOT LIKE '%2005%'", "n.name LIKE '%Lloyd%'", "n.name NOT LIKE '%Granier%'", "rt.role = 'producer'"],
["ci.note = '(voice)'", "cn.country_code = '[us]'", "mc.note LIKE '%2005%'", "mc.note NOT LIKE '%2012%'", "n.name LIKE '%Welker%'", "n.name NOT LIKE '%Wayne%'", "rt.role = 'actor'"],
["ci.note = '(production assistant)'", "cn.country_code = '[us]'", "mc.note LIKE '%2007%'", "mc.note NOT LIKE '%r%'", "n.name LIKE '%Young%'", "n.name NOT LIKE '%Armand%'", "rt.role = 'miscellaneous crew'"],
["ci.note = '(voice)'", "cn.country_code = '[us]'", "mc.note LIKE '%f%'", "mc.note NOT LIKE '%USA%'", "n.name LIKE '%Michael%'", "n.name NOT LIKE '%Jim%'", "rt.role = 'actor'"],
["ci.note = '(uncredited)'", "cn.country_code = '[us]'", "mc.note LIKE '%i%'", "mc.note NOT LIKE '%t%'", "n.name LIKE '%Robert%'", "n.name NOT LIKE '%Bradley%'", "rt.role = 'producer'"],
["ci.note = '(producer)'", "cn.country_code = '[us]'", "mc.note LIKE '%association%'", "mc.note NOT LIKE '%DVD%'", "n.name LIKE '%Keith%'", "n.name NOT LIKE '%Labayen%'", "rt.role = 'producer'"],
["ci.note = '(uncredited)'", "cn.country_code = '[us]'", "mc.note LIKE '%USA%'", "mc.note NOT LIKE '%1915%'", "n.name LIKE '%Armand%'", "n.name NOT LIKE '%Digard%'", "rt.role = 'actor'"],
["ci.note = '(uncredited)'", "cn.country_code = '[us]'", "mc.note LIKE '%theatrical%'", "mc.note NOT LIKE '%p%'", "n.name LIKE '%Roger%'", "n.name NOT LIKE '%Trey%'", "rt.role = 'actor'"],
["ci.note = '(producer)'", "cn.country_code = '[us]'", "mc.note LIKE '%association%'", "mc.note NOT LIKE '%u%'", "n.name LIKE '%u%'", "n.name NOT LIKE '%Griffin%'", "rt.role = 'producer'"],
["ci.note = '(voice)'", "cn.country_code = '[us]'", "mc.note LIKE '%TV%'", "mc.note NOT LIKE '%theatrical%'", "n.name LIKE '%William%'", "n.name NOT LIKE '%Tilley%'", "rt.role = 'actor'"],
["ci.note = '(executive producer)'", "cn.country_code = '[us]'", "mc.note LIKE '%USA%'", "mc.note NOT LIKE '%theatrical%'", "n.name LIKE '%Ho%'", "n.name NOT LIKE '%Helie%'", "rt.role = 'producer'"],
["ci.note = '(producer)'", "cn.country_code = '[us]'", "mc.note LIKE '%Philippines%'", "mc.note NOT LIKE '%production%'", "n.name LIKE '%d%'", "n.name NOT LIKE '%Kimmel%'", "rt.role = 'producer'"],
["ci.note = '(associate producer)'", "cn.country_code = '[us]'", "mc.note LIKE '%in%'", "mc.note NOT LIKE '%2007%'", "n.name LIKE '%Sandra%'", "n.name NOT LIKE '%Scott%'", "rt.role = 'producer'"],
["ci.note = '(producer)'", "cn.country_code = '[us]'", "mc.note LIKE '%Hungary%'", "mc.note NOT LIKE '%production%'", "n.name LIKE '%Michael%'", "n.name NOT LIKE '%Roger%'", "rt.role = 'producer'"],
["ci.note = '(producer)'", "cn.country_code = '[us]'", "mc.note LIKE '%USA%'", "mc.note NOT LIKE '%Netherlands%'", "n.name LIKE '%Cartwright%'", "n.name NOT LIKE '%John%'", "rt.role = 'producer'"],
