query_id,robustness,db_instance,method,candidate plan generation time (mins),robust plan set generation (mins),model prediction time (ms)
14-0,category,1,cardinality,5.8,159.11,9.8
14-0,category,1,kepler,5.09,54.63,9.66
14-0,category,1,csv,5.33,166.76,9.77
14-0,category,4,cardinality,4.76,64.38,8.3
14-0,category,4,kepler,4.89,31.05,8.05
14-0,random,1,cardinality,4.34,60.43,8.99
14-0,random,1,kepler,4.26,39.21,8.59
14-0,random,1,csv,4.33,56.05,8.84
14-0,random,4,cardinality,4.06,58.41,8.61
14-0,random,4,kepler,4.03,33.14,8.67
14-0,random,4,csv,4.23,46.27,8.49
14-0,sliding,1,cardinality,4.17,51.69,8.78
14-0,sliding,1,kepler,4.19,38.48,8.99
14-0,sliding,1,csv,4.49,74.16,8.6
14-0,sliding,4,cardinality,4.24,54.35,8.73
14-0,sliding,4,kepler,4.35,45.94,8.82
14-0,sliding,4,csv,4.37,86.44,8.94
17-0,category,1,cardinality,4.42,243.6,7.36
17-0,category,1,kepler,5.41,89.67,7.25
17-0,category,1,csv,4.81,275.03,7.22
17-0,category,4,cardinality,4.11,78.8,7.23
17-0,category,4,kepler,5.7,92.12,7.21
17-0,category,4,csv,4.34,65.18,7.27
17-0,random,1,cardinality,3.77,54.09,7.11
17-0,random,1,kepler,4.96,77.78,7.39
17-0,random,1,csv,4.96,167.82,7.25
17-0,random,4,cardinality,3.82,70.15,7.22
17-0,random,4,kepler,5.22,85.91,7.37
17-0,random,4,csv,3.89,97.18,7.21
17-0,sliding,1,cardinality,3.27,54.36,7.29
17-0,sliding,1,kepler,5.73,111.78,7.04
17-0,sliding,1,csv,4.36,156.93,7.26
17-0,sliding,4,cardinality,4.8,150.37,7.46
17-0,sliding,4,kepler,5.05,87.84,7.32
17-0,sliding,4,csv,3.77,86.26,7.16
3-0,category,1,cardinality,1.48,56.04,8.49
3-0,category,1,kepler,1.1,52.16,8.51
3-0,category,1,csv,0.87,9.88,8.53
3-0,category,4,cardinality,1.24,17.38,7.15
3-0,category,4,kepler,0.87,14.1,7.08
3-0,category,4,csv,0.77,5.27,7.01
3-0,random,1,cardinality,1.33,36.96,7.64
3-0,random,1,kepler,0.79,23.75,7.53
3-0,random,1,csv,0.82,8.34,7.44
3-0,random,4,cardinality,1.32,33.38,7.68
3-0,random,4,kepler,0.65,16.03,7.43
3-0,random,4,csv,0.86,9.49,7.57
3-0,sliding,1,cardinality,1.3,35.91,7.59
3-0,sliding,1,kepler,0.77,23.37,7.74
3-0,sliding,1,csv,0.51,4.62,7.58
3-0,sliding,4,cardinality,1.24,31.87,7.64
3-0,sliding,4,kepler,0.73,19.05,7.78
3-0,sliding,4,csv,0.61,5.84,7.57
4-0,category,1,cardinality,2.39,82.8,7.32
4-0,category,1,kepler,2.58,57.41,7.24
4-0,category,1,csv,0.95,7.62,7.16
4-0,category,4,cardinality,2.71,24.77,7.25
4-0,category,4,kepler,2.89,24.98,7.26
4-0,category,4,csv,1.26,5.27,7.22
4-0,random,1,cardinality,2.46,37.5,7.18
4-0,random,1,kepler,2.89,58.82,7.3
4-0,random,1,csv,0.91,5.05,7.27
4-0,random,4,cardinality,2.33,41.91,7.27
4-0,random,4,kepler,3.03,57.96,7.4
4-0,random,4,csv,1.09,8.42,7.23
4-0,sliding,1,cardinality,2.53,57.57,7.3
4-0,sliding,1,kepler,2.86,62.93,7.41
4-0,sliding,1,csv,0.81,4.96,7.18
4-0,sliding,4,cardinality,2.68,56.06,7.3
4-0,sliding,4,kepler,2.74,56.53,7.37
4-0,sliding,4,csv,1.14,6.01,7.29
