["cn.country_code != '[ro]'", "cn.name LIKE '%m%'", "cn.name LIKE '%4%'", "ct.kind = 'production companies'", "k.keyword = 'money'", "t.production_year > 1983", "t.production_year < 2015"],
["cn.country_code != '[se]'", "cn.name LIKE '%n%'", "cn.name LIKE '%a%'", "ct.kind = 'production companies'", "k.keyword = 'restaurant'", "t.production_year > 1949", "t.production_year < 2003"],
["cn.country_code != '[us]'", "cn.name LIKE '%l%'", "cn.name LIKE '%q%'", "ct.kind = 'production companies'", "k.keyword = 'sex'", "t.production_year > 1962", "t.production_year < 2013"],
["cn.country_code != '[kr]'", "cn.name LIKE '%K%'", "cn.name LIKE '%y%'", "ct.kind = 'production companies'", "k.keyword = 'martial-arts'", "t.production_year > 1929", "t.production_year < 2017"],
["cn.country_code != '[kr]'", "cn.name LIKE '%k%'", "cn.name LIKE '%n%'", "ct.kind = 'distributors'", "k.keyword = 'cyclops'", "t.production_year > 1930", "t.production_year < 1988"],
["cn.country_code != '[us]'", "cn.name LIKE '%n%'", "cn.name LIKE '%o%'", "ct.kind = 'distributors'", "k.keyword = 'extramarital-affair'", "t.production_year > 1954", "t.production_year < 2010"],
["cn.country_code != '[us]'", "cn.name LIKE '%o%'", "cn.name LIKE '%H%'", "ct.kind = 'production companies'", "k.keyword = 'betrayal'", "t.production_year > 1957", "t.production_year < 2015"],
["cn.country_code != '[it]'", "cn.name LIKE '%t%'", "cn.name LIKE '%I%'", "ct.kind = 'production companies'", "k.keyword = 'chop-socky'", "t.production_year > 1887", "t.production_year < 1997"],
["cn.country_code != '[us]'", "cn.name LIKE '%i%'", "cn.name LIKE '%a%'", "ct.kind = 'production companies'", "k.keyword = 'homosexual'", "t.production_year > 1887", "t.production_year < 2008"],
["cn.country_code != '[gb]'", "cn.name LIKE '%g%'", "cn.name LIKE '%e%'", "ct.kind = 'production companies'", "k.keyword = 'hate'", "t.production_year > 1890", "t.production_year < 2010"],
["cn.country_code != '[gb]'", "cn.name LIKE '%n%'", "cn.name LIKE '%u%'", "ct.kind = 'production companies'", "k.keyword = 'family-relationships'", "t.production_year > 1937", "t.production_year < 2012"],
["cn.country_code != '[kr]'", "cn.name LIKE '%M%'", "cn.name LIKE '%C%'", "ct.kind = 'production companies'", "k.keyword = 'advice'", "t.production_year > 1908", "t.production_year < 2005"],
["cn.country_code != '[us]'", "cn.name LIKE '%o%'", "cn.name LIKE '%u%'", "ct.kind = 'production companies'", "k.keyword = 'disguise'", "t.production_year > 1937", "t.production_year < 2004"],
["cn.country_code != '[us]'", "cn.name LIKE '%i%'", "cn.name LIKE '%S%'", "ct.kind = 'production companies'", "k.keyword = 'beer'", "t.production_year > 1929", "t.production_year < 2008"],
["cn.country_code != '[us]'", "cn.name LIKE '%a%'", "cn.name LIKE '%T%'", "ct.kind = 'production companies'", "k.keyword = 'title-ends-with-period'", "t.production_year > 2001", "t.production_year < 2007"],
["cn.country_code != '[gb]'", "cn.name LIKE '%a%'", "cn.name LIKE '%s%'", "ct.kind = 'production companies'", "k.keyword = 'murder'", "t.production_year > 1971", "t.production_year < 1987"],
["cn.country_code != '[us]'", "cn.name LIKE '%n%'", "cn.name LIKE '%s%'", "ct.kind = 'production companies'", "k.keyword = 'restaurant'", "t.production_year > 1993", "t.production_year < 2006"],
["cn.country_code != '[us]'", "cn.name LIKE '%a%'", "cn.name LIKE '%i%'", "ct.kind = 'production companies'", "k.keyword = 'remake'", "t.production_year > 1949", "t.production_year < 2014"],
["cn.country_code != '[us]'", "cn.name LIKE '%l%'", "cn.name LIKE '%d%'", "ct.kind = 'production companies'", "k.keyword = 'orgy'", "t.production_year > 1975", "t.production_year < 2013"],
["cn.country_code != '[de]'", "cn.name LIKE '%c%'", "cn.name LIKE '%W%'", "ct.kind = 'production companies'", "k.keyword = 'fixation'", "t.production_year > 1969", "t.production_year < 2008"],
["cn.country_code != '[us]'", "cn.name LIKE '%e%'", "cn.name LIKE '%i%'", "ct.kind = 'production companies'", "k.keyword = 'farm'", "t.production_year > 1896", "t.production_year < 1991"],
["cn.country_code != '[hu]'", "cn.name LIKE '%u%'", "cn.name LIKE '%u%'", "ct.kind = 'production companies'", "k.keyword = 'border-crossing'", "t.production_year > 1974", "t.production_year < 2010"],
["cn.country_code != '[fi]'", "cn.name LIKE '%e%'", "cn.name LIKE '%e%'", "ct.kind = 'production companies'", "k.keyword = 'working-class'", "t.production_year > 1921", "t.production_year < 1973"],
["cn.country_code != '[us]'", "cn.name LIKE '%r%'", "cn.name LIKE '%e%'", "ct.kind = 'production companies'", "k.keyword = 'bachelorette-party'", "t.production_year > 1991", "t.production_year < 2008"],
["cn.country_code != '[cn]'", "cn.name LIKE '%M%'", "cn.name LIKE '%F%'", "ct.kind = 'production companies'", "k.keyword = 'teenager'", "t.production_year > 1941", "t.production_year < 2016"],
["cn.country_code != '[us]'", "cn.name LIKE '%V%'", "cn.name LIKE '%n%'", "ct.kind = 'production companies'", "k.keyword = 'little-girl'", "t.production_year > 1898", "t.production_year < 1982"],
["cn.country_code != '[us]'", "cn.name LIKE '%i%'", "cn.name LIKE '%i%'", "ct.kind = 'distributors'", "k.keyword = 'blood'", "t.production_year > 1916", "t.production_year < 2004"],
["cn.country_code != '[us]'", "cn.name LIKE '%r%'", "cn.name LIKE '%s%'", "ct.kind = 'production companies'", "k.keyword = 'woman-initiating-sex'", "t.production_year > 1996", "t.production_year < 2016"],
["cn.country_code != '[us]'", "cn.name LIKE '%o%'", "cn.name LIKE '%k%'", "ct.kind = 'production companies'", "k.keyword = 'independent-film'", "t.production_year > 1957", "t.production_year < 2018"],
["cn.country_code != '[ca]'", "cn.name LIKE '%i%'", "cn.name LIKE '%d%'", "ct.kind = 'production companies'", "k.keyword = 'job-interview'", "t.production_year > 1955", "t.production_year < 2010"],
["cn.country_code != '[us]'", "cn.name LIKE '%t%'", "cn.name LIKE '%w%'", "ct.kind = 'production companies'", "k.keyword = 'christmas'", "t.production_year > 1938", "t.production_year < 2018"],
["cn.country_code != '[jp]'", "cn.name LIKE '%c%'", "cn.name LIKE '%n%'", "ct.kind = 'production companies'", "k.keyword = 'based-on-manga'", "t.production_year > 1946", "t.production_year < 2009"],
["cn.country_code != '[us]'", "cn.name LIKE '%R%'", "cn.name LIKE '%n%'", "ct.kind = 'production companies'", "k.keyword = 'monkey'", "t.production_year > 1930", "t.production_year < 1992"],
["cn.country_code != '[jp]'", "cn.name LIKE '%r%'", "cn.name LIKE '%T%'", "ct.kind = 'production companies'", "k.keyword = 'mercy'", "t.production_year > 1939", "t.production_year < 2017"],
["cn.country_code != '[jp]'", "cn.name LIKE '%T%'", "cn.name LIKE '%F%'", "ct.kind = 'production companies'", "k.keyword = 'horns'", "t.production_year > 1929", "t.production_year < 2002"],
["cn.country_code != '[fr]'", "cn.name LIKE '%n%'", "cn.name LIKE '%F%'", "ct.kind = 'distributors'", "k.keyword = 'remake'", "t.production_year > 1890", "t.production_year < 1979"],
["cn.country_code != '[ca]'", "cn.name LIKE '%l%'", "cn.name LIKE '%s%'", "ct.kind = 'production companies'", "k.keyword = 'strip-club'", "t.production_year > 1940", "t.production_year < 2009"],
["cn.country_code != '[fr]'", "cn.name LIKE '%E%'", "cn.name LIKE '%F%'", "ct.kind = 'production companies'", "k.keyword = 'kicked-in-the-butt'", "t.production_year > 1946", "t.production_year < 1988"],
["cn.country_code != '[in]'", "cn.name LIKE '%F%'", "cn.name LIKE '%i%'", "ct.kind = 'production companies'", "k.keyword = 'tragic-event'", "t.production_year > 1890", "t.production_year < 2018"],
["cn.country_code != '[fr]'", "cn.name LIKE '%T%'", "cn.name LIKE '%e%'", "ct.kind = 'production companies'", "k.keyword = '2000s'", "t.production_year > 1932", "t.production_year < 2008"],
["cn.country_code != '[de]'", "cn.name LIKE '%e%'", "cn.name LIKE '%e%'", "ct.kind = 'production companies'", "k.keyword = 'moving-a-piano'", "t.production_year > 2002", "t.production_year < 2015"],
["cn.country_code != '[us]'", "cn.name LIKE '%a%'", "cn.name LIKE '%t%'", "ct.kind = 'production companies'", "k.keyword = 'jury'", "t.production_year > 1903", "t.production_year < 2008"],
["cn.country_code != '[us]'", "cn.name LIKE '%v%'", "cn.name LIKE '%n%'", "ct.kind = 'production companies'", "k.keyword = 'babysitting'", "t.production_year > 1887", "t.production_year < 2005"],
["cn.country_code != '[us]'", "cn.name LIKE '%n%'", "cn.name LIKE '%s%'", "ct.kind = 'production companies'", "k.keyword = 'boarding-school'", "t.production_year > 1900", "t.production_year < 1998"],
["cn.country_code != '[us]'", "cn.name LIKE '%r%'", "cn.name LIKE '%r%'", "ct.kind = 'production companies'", "k.keyword = 'massacre'", "t.production_year > 1991", "t.production_year < 2011"],
["cn.country_code != '[us]'", "cn.name LIKE '%r%'", "cn.name LIKE '%r%'", "ct.kind = 'production companies'", "k.keyword = 'book'", "t.production_year > 1973", "t.production_year < 2017"],
["cn.country_code != '[us]'", "cn.name LIKE '%V%'", "cn.name LIKE '%U%'", "ct.kind = 'distributors'", "k.keyword = 'warrior'", "t.production_year > 1964", "t.production_year < 2009"],
["cn.country_code != '[us]'", "cn.name LIKE '%o%'", "cn.name LIKE '%o%'", "ct.kind = 'production companies'", "k.keyword = 'death'", "t.production_year > 1933", "t.production_year < 2010"],
["cn.country_code != '[us]'", "cn.name LIKE '%t%'", "cn.name LIKE '%i%'", "ct.kind = 'production companies'", "k.keyword = 'character-name-in-title'", "t.production_year > 1934", "t.production_year < 2010"],
["cn.country_code != '[ca]'", "cn.name LIKE '%f%'", "cn.name LIKE '%a%'", "ct.kind = 'production companies'", "k.keyword = 'food'", "t.production_year > 1921", "t.production_year < 2015"]
