["cn.country_code != '[id]'", "cn.name LIKE '%NFB%'", "cn.name LIKE '%Filmes%'", "ct.kind = 'production companies'", "k.keyword = 'nudity'", "t.production_year > 1967", "t.production_year < 1978"],
["cn.country_code != '[us]'", "cn.name LIKE '%Columbia%'", "cn.name LIKE '%f%'", "ct.kind = 'distributors'", "k.keyword = 'sex'", "t.production_year > 1973", "t.production_year < 1985"],
["cn.country_code != '[us]'", "cn.name LIKE '%i%'", "cn.name LIKE '%National%'", "ct.kind = 'production companies'", "k.keyword = 'based-on-novel'", "t.production_year > 1981", "t.production_year < 1983"],
["cn.country_code != '[kz]'", "cn.name LIKE '%Corporation%'", "cn.name LIKE '%Board%'", "ct.kind = 'distributors'", "k.keyword = 'bare-breasts'", "t.production_year > 1965", "t.production_year < 1987"],
["cn.country_code != '[ci]'", "cn.name LIKE '%ABC%'", "cn.name LIKE '%TV%'", "ct.kind = 'production companies'", "k.keyword = 'hardcore'", "t.production_year > 1985", "t.production_year < 1987"],
["cn.country_code != '[py]'", "cn.name LIKE '%BBC%'", "cn.name LIKE '%Estado%'", "ct.kind = 'distributors'", "k.keyword = 'murder'", "t.production_year > 1987", "t.production_year < 1987"],
["cn.country_code != '[de]'", "cn.name LIKE '%Century%'", "cn.name LIKE '%Broadcasting%'", "ct.kind = 'distributors'", "k.keyword = 'surrealism'", "t.production_year > 1979", "t.production_year < 1984"],
["cn.country_code != '[de]'", "cn.name LIKE '%Broadcasting%'", "cn.name LIKE '%Fernsehen%'", "ct.kind = 'distributors'", "k.keyword = 'murder'", "t.production_year > 1985", "t.production_year < 1991"],
["cn.country_code != '[rs]'", "cn.name LIKE '%Zweites%'", "cn.name LIKE '%System%'", "ct.kind = 'distributors'", "k.keyword = 'independent-film'", "t.production_year > 1968", "t.production_year < 1968"],
["cn.country_code != '[no]'", "cn.name LIKE '%Company%'", "cn.name LIKE '%Broadcasting%'", "ct.kind = 'distributors'", "k.keyword = 'based-on-novel'", "t.production_year > 1979", "t.production_year < 1985"],
["cn.country_code != '[ae]'", "cn.name LIKE '%Columbia%'", "cn.name LIKE '%Wall%'", "ct.kind = 'production companies'", "k.keyword = 'sex'", "t.production_year > 1976", "t.production_year < 1989"],
