["cn.country_code = '[us]'", "it.info = 'release dates'", "mc.note LIKE '%with%'", "mc.note LIKE '%for%'", "mi.note LIKE '%i%'", "mi.info LIKE '%U%'", "t.production_year > 1980"],
["cn.country_code = '[us]'", "it.info = 'release dates'", "mc.note LIKE '%r%'", "mc.note LIKE '%with%'", "mi.note LIKE '%DVD%'", "mi.info LIKE '%l%'", "t.production_year > 1998"],
["cn.country_code = '[us]'", "it.info = 'release dates'", "mc.note LIKE '%media%'", "mc.note LIKE '%all%'", "mi.note LIKE '%s%'", "mi.info LIKE '%S%'", "t.production_year > 2006"],
["cn.country_code = '[us]'", "it.info = 'release dates'", "mc.note LIKE '%2006%'", "mc.note LIKE '%USA%'", "mi.note LIKE '%TV%'", "mi.info LIKE '%n%'", "t.production_year > 1984"],
["cn.country_code = '[us]'", "it.info = 'release dates'", "mc.note LIKE '%theatrical%'", "mc.note LIKE '%2004%'", "mi.note LIKE '%premiere%'", "mi.info LIKE '%K%'", "t.production_year > 1996"],
["cn.country_code = '[us]'", "it.info = 'release dates'", "mc.note LIKE '%as%'", "mc.note LIKE '%2006%'", "mi.note LIKE '%DVD%'", "mi.info LIKE '%U%'", "t.production_year > 1964"],
["cn.country_code = '[us]'", "it.info = 'release dates'", "mc.note LIKE '%e%'", "mc.note LIKE '%1991%'", "mi.note LIKE '%Film%'", "mi.info LIKE '%S%'", "t.production_year > 1979"],
["cn.country_code = '[us]'", "it.info = 'release dates'", "mc.note LIKE '%e%'", "mc.note LIKE '%Productions%'", "mi.note LIKE '%Film%'", "mi.info LIKE '%U%'", "t.production_year > 1958"],
["cn.country_code = '[us]'", "it.info = 'release dates'", "mc.note LIKE '%with%'", "mc.note LIKE '%in%'", "mi.note LIKE '%premiere%'", "mi.info LIKE '%and%'", "t.production_year > 2000"],
["cn.country_code = '[us]'", "it.info = 'release dates'", "mc.note LIKE '%DVD%'", "mc.note LIKE '%s%'", "mi.note LIKE '%s%'", "mi.info LIKE '%U%'", "t.production_year > 1996"],
["cn.country_code = '[us]'", "it.info = 'release dates'", "mc.note LIKE '%DVD%'", "mc.note LIKE '%worldwide%'", "mi.note LIKE '%DVD%'", "mi.info LIKE '%l%'", "t.production_year > 2006"],
