["cn.country_code != '[us]'", "cn.name LIKE '%Video%'", "cn.name LIKE '%Evil%'", "ct.kind = 'distributors'", "k.keyword = 'nudity'", "mi.info IN ('Documentary', 'Documentary', 'Documentary', 'USA:X', 'USA:X')", "t.production_year > 1985", "t.production_year < 2011"],
["cn.country_code != '[eg]'", "cn.name LIKE '%Concepts%'", "cn.name LIKE '%Films%'", "ct.kind = 'production companies'", "k.keyword = 'sex'", "mi.info IN ('Adult', 'Short', 'USA:2003', 'Color', 'Color')", "t.production_year > 1997", "t.production_year < 2009"],
["cn.country_code != '[xyu]'", "cn.name LIKE '%Wrestling%'", "cn.name LIKE '%Hustler%'", "ct.kind = 'production companies'", "k.keyword = 'hardcore'", "mi.info IN ('Adult', 'Adult', 'Adult', 'Adult', 'Adult')", "t.production_year > 2007", "t.production_year < 2007"],
["cn.country_code != '[us]'", "cn.name LIKE '%Films%'", "cn.name LIKE '%Home%'", "ct.kind = 'production companies'", "k.keyword = 'hardcore'", "mi.info IN ('USA', 'USA', 'USA', 'USA', 'USA')", "t.production_year > 2000", "t.production_year < 2010"],
["cn.country_code != '[xyu]'", "cn.name LIKE '%Concepts%'", "cn.name LIKE '%Vivid%'", "ct.kind = 'production companies'", "k.keyword = 'nudity'", "mi.info IN ('English', 'English', 'English', 'English', 'English')", "t.production_year > 2005", "t.production_year < 2007"],
["cn.country_code != '[at]'", "cn.name LIKE '%Concepts%'", "cn.name LIKE '%Wicked%'", "ct.kind = 'production companies'", "k.keyword = 'sex'", "mi.info IN ('Documentary', 'Documentary', 'USA:X', 'Adult', 'Adult')", "t.production_year > 2006", "t.production_year < 2007"],
["cn.country_code != '[si]'", "cn.name LIKE '%Private%'", "cn.name LIKE '%Videorama%'", "ct.kind = 'production companies'", "k.keyword = 'sex'", "mi.info IN ('Color', 'Color', 'Color', 'Color', 'Color')", "t.production_year > 1999", "t.production_year < 2004"],
["cn.country_code != '[bh]'", "cn.name LIKE '%Studios%'", "cn.name LIKE '%Home%'", "ct.kind = 'production companies'", "k.keyword = 'hardcore'", "mi.info IN ('Color', 'English', 'English', 'English', 'English')", "t.production_year > 2006", "t.production_year < 2006"],
["cn.country_code != '[kr]'", "cn.name LIKE '%Vivid%'", "cn.name LIKE '%Film%'", "ct.kind = 'distributors'", "k.keyword = 'hardcore'", "mi.info IN ('English', 'English', 'Color', 'Color', 'Color')", "t.production_year > 1993", "t.production_year < 2001"],
["cn.country_code != '[us]'", "cn.name LIKE '%Productions%'", "cn.name LIKE '%Windwalker%'", "ct.kind = 'production companies'", "k.keyword = 'hardcore'", "mi.info IN ('USA:X', 'USA:X', 'Documentary', 'USA:X', 'Documentary')", "t.production_year > 1998", "t.production_year < 2005"],
["cn.country_code != '[ph]'", "cn.name LIKE '%Video%'", "cn.name LIKE '%Film%'", "ct.kind = 'production companies'", "k.keyword = 'nudity'", "mi.info IN ('Color', 'English', 'Color', 'Color', 'English')", "t.production_year > 1988", "t.production_year < 2001"],
["cn.country_code != '[ca]'", "cn.name LIKE '%Home%'", "cn.name LIKE '%New%'", "ct.kind = 'production companies'", "k.keyword = 'sex'", "mi.info IN ('USA', 'USA', 'USA', 'USA', 'USA')", "t.production_year > 1994", "t.production_year < 2010"],
["cn.country_code != '[sa]'", "cn.name LIKE '%Video%'", "cn.name LIKE '%Thompson%'", "ct.kind = 'distributors'", "k.keyword = 'hardcore'", "mi.info IN ('English', 'English', 'English', 'English', 'English')", "t.production_year > 2001", "t.production_year < 2006"],
["cn.country_code != '[be]'", "cn.name LIKE '%Heatwave%'", "cn.name LIKE '%Pictures%'", "ct.kind = 'production companies'", "k.keyword = 'anal-sex'", "mi.info IN ('Color', 'Color', 'Color', 'Color', 'Color')", "t.production_year > 2008", "t.production_year < 2008"],
["cn.country_code != '[gr]'", "cn.name LIKE '%Publishing%'", "cn.name LIKE '%Hustler%'", "ct.kind = 'production companies'", "k.keyword = 'sex'", "mi.info IN ('USA', 'USA', 'USA', 'USA', 'USA')", "t.production_year > 2005", "t.production_year < 2012"],
["cn.country_code != '[us]'", "cn.name LIKE '%Entertainment%'", "cn.name LIKE '%Pleasures%'", "ct.kind = 'production companies'", "k.keyword = 'oral-sex'", "mi.info IN ('USA:X', 'USA:X', 'USA:X', 'USA:X', 'Documentary')", "t.production_year > 2000", "t.production_year < 2014"],
["cn.country_code != '[gr]'", "cn.name LIKE '%Home%'", "cn.name LIKE '%Harmony%'", "ct.kind = 'production companies'", "k.keyword = 'hardcore'", "mi.info IN ('USA:X', 'USA:X', 'USA:X', 'Documentary', 'Documentary')", "t.production_year > 1997", "t.production_year < 2009"],
["cn.country_code != '[ve]'", "cn.name LIKE '%Digital%'", "cn.name LIKE '%Concepts%'", "ct.kind = 'production companies'", "k.keyword = 'sex'", "mi.info IN ('Color', 'Color', 'Color', 'Color', 'Color')", "t.production_year > 2007", "t.production_year < 2007"],
["cn.country_code != '[us]'", "cn.name LIKE '%Wicked%'", "cn.name LIKE '%Video%'", "ct.kind = 'production companies'", "k.keyword = 'female-nudity'", "mi.info IN ('Adult', 'Adult', 'Adult', 'Adult', 'Adult')", "t.production_year > 2002", "t.production_year < 2006"],
["cn.country_code != '[us]'", "cn.name LIKE '%Video%'", "cn.name LIKE '%Home%'", "ct.kind = 'distributors'", "k.keyword = 'female-nudity'", "mi.info IN ('USA:2008', 'Short', 'Adult', 'English', 'Short')", "t.production_year > 1997", "t.production_year < 1997"],
["cn.country_code != '[us]'", "cn.name LIKE '%Pictures%'", "cn.name LIKE '%Concepts%'", "ct.kind = 'production companies'", "k.keyword = 'hardcore'", "mi.info IN ('Color', 'Color', 'Color', 'Color', 'Color')", "t.production_year > 1998", "t.production_year < 2002"],
["cn.country_code != '[ar]'", "cn.name LIKE '%Light%'", "cn.name LIKE '%Harmony%'", "ct.kind = 'production companies'", "k.keyword = 'hardcore'", "mi.info IN ('Short', 'English', 'English', 'USA', 'Short')", "t.production_year > 2005", "t.production_year < 2006"],
["cn.country_code != '[fr]'", "cn.name LIKE '%Essen%'", "cn.name LIKE '%Angel%'", "ct.kind = 'distributors'", "k.keyword = 'sex'", "mi.info IN ('USA', 'Short', 'USA', 'English', 'USA')", "t.production_year > 2000", "t.production_year < 2010"],
["cn.country_code != '[hn]'", "cn.name LIKE '%GmbH%'", "cn.name LIKE '%Concepts%'", "ct.kind = 'production companies'", "k.keyword = 'oral-sex'", "mi.info IN ('Adult', 'Adult', 'Adult', 'Adult', 'Adult')", "t.production_year > 1995", "t.production_year < 2010"],
["cn.country_code != '[us]'", "cn.name LIKE '%Zero%'", "cn.name LIKE '%Video%'", "ct.kind = 'distributors'", "k.keyword = 'hardcore'", "mi.info IN ('English', 'English', 'English', 'English', 'English')", "t.production_year > 1999", "t.production_year < 2001"],
["cn.country_code != '[be]'", "cn.name LIKE '%Vivid%'", "cn.name LIKE '%Video%'", "ct.kind = 'production companies'", "k.keyword = 'anal-sex'", "mi.info IN ('USA', 'USA', 'USA', 'USA', 'USA')", "t.production_year > 1981", "t.production_year < 2010"],
["cn.country_code != '[ve]'", "cn.name LIKE '%Red%'", "cn.name LIKE '%Sin%'", "ct.kind = 'production companies'", "k.keyword = 'oral-sex'", "mi.info IN ('Color', 'English', 'English', 'Color', 'Color')", "t.production_year > 1994", "t.production_year < 1999"],
["cn.country_code != '[ne]'", "cn.name LIKE '%Films%'", "cn.name LIKE '%Washington%'", "ct.kind = 'distributors'", "k.keyword = 'oral-sex'", "mi.info IN ('English', 'English', 'English', 'English', 'English')", "t.production_year > 2001", "t.production_year < 2005"],
