["cn.country_code != '[gt]'", "cn.name LIKE '%Pictures%'", "cn.name LIKE '%Mayer%'", "ct.kind = 'distributors'", "k.keyword = 'independent-film'", "mi.info IN ('Color', 'English', 'Color', 'English', 'Color')", "t.production_year > 2002", "t.production_year < 2013"],
["cn.country_code != '[fr]'", "cn.name LIKE '%General%'", "cn.name LIKE '%J%'", "ct.kind = 'production companies'", "k.keyword = 'character-name-in-title'", "mi.info IN ('PFM:35 mm', 'PFM:35 mm', 'PFM:35 mm', 'PFM:35 mm', 'PFM:35 mm')", "t.production_year > 2002", "t.production_year < 2006"],
["cn.country_code != '[gb]'", "cn.name LIKE '%Video%'", "cn.name LIKE '%Broadcasting%'", "ct.kind = 'production companies'", "k.keyword = 'sex'", "mi.info IN ('English', 'USA', 'USA', 'Color', 'Short')", "t.production_year > 1995", "t.production_year < 1998"],
["cn.country_code != '[de]'", "cn.name LIKE '%NBC%'", "cn.name LIKE '%Productions%'", "ct.kind = 'production companies'", "k.keyword = 'independent-film'", "mi.info IN ('English', 'English', 'English', 'English', 'English')", "t.production_year > 1927", "t.production_year < 2006"],
["cn.country_code != '[us]'", "cn.name LIKE '%for%'", "cn.name LIKE '%Broadcasting%'", "ct.kind = 'production companies'", "k.keyword = 'based-on-novel'", "mi.info IN ('USA', 'English', 'USA', 'English', 'English')", "t.production_year > 1996", "t.production_year < 2003"],
["cn.country_code != '[de]'", "cn.name LIKE '%American%'", "cn.name LIKE '%20th%'", "ct.kind = 'production companies'", "k.keyword = 'independent-film'", "mi.info IN ('USA', 'USA', 'USA', 'USA', 'USA')", "t.production_year > 1960", "t.production_year < 1973"],
["cn.country_code != '[de]'", "cn.name LIKE '%20th%'", "cn.name LIKE '%Film%'", "ct.kind = 'distributors'", "k.keyword = 'based-on-novel'", "mi.info IN ('Dolby Digital', 'Australia:M', 'Sweden:15', 'Sweden:15', 'Film')", "t.production_year > 2001", "t.production_year < 2003"],
["cn.country_code != '[us]'", "cn.name LIKE '%ABC%'", "cn.name LIKE '%Film%'", "ct.kind = 'production companies'", "k.keyword = 'hardcore'", "mi.info IN ('USA', 'USA', 'Color', 'Color', 'USA')", "t.production_year > 1946", "t.production_year < 2011"],
["cn.country_code != '[us]'", "cn.name LIKE '%Film%'", "cn.name LIKE '%Company%'", "ct.kind = 'production companies'", "k.keyword = 'character-name-in-title'", "mi.info IN ('Color', 'Color', 'Color', 'Color', 'Color')", "t.production_year > 2000", "t.production_year < 2011"],
["cn.country_code != '[de]'", "cn.name LIKE '%Metro%'", "cn.name LIKE '%Universal%'", "ct.kind = 'production companies'", "k.keyword = 'independent-film'", "mi.info IN ('Color', 'Color', 'Color', 'Color', 'Color')", "t.production_year > 1969", "t.production_year < 2004"],
["cn.country_code != '[us]'", "cn.name LIKE '%Columbia%'", "cn.name LIKE '%Television%'", "ct.kind = 'distributors'", "k.keyword = 'independent-film'", "mi.info IN ('English', 'USA', 'RAT:1.33 : 1', 'Documentary', 'Color')", "t.production_year > 1978", "t.production_year < 2006"],
["cn.country_code != '[no]'", "cn.name LIKE '%Warner%'", "cn.name LIKE '%Broadcasting%'", "ct.kind = 'production companies'", "k.keyword = 'sex'", "mi.info IN ('Stereo', 'UK', 'Dolby Digital', 'RAT:1.85 : 1', 'Silent')", "t.production_year > 2005", "t.production_year < 2007"],
["cn.country_code != '[fr]'", "cn.name LIKE '%Company%'", "cn.name LIKE '%Warner%'", "ct.kind = 'distributors'", "k.keyword = 'based-on-novel'", "mi.info IN ('Mono', 'Mono', 'Mono', 'Mono', 'Mono')", "t.production_year > 1986", "t.production_year < 2003"],
