["(mi.info LIKE '%r%' OR mi.info LIKE '%r%')", "ci.note IN ('(archive footage)', '(co-producer)', '(uncredited)', '(producer)', '(creator)')", "cn.country_code = '[ca]'", "it.info = 'release dates'", "k.keyword IN ('independent-film', 'independent-film', 'female-nudity', 'independent-film', 'independent-film')", "n.gender = 'm' AND n.name LIKE '%D%'", "rt.role = 'actor'", "t.production_year > 2005"],
["(mi.info LIKE '%S%' OR mi.info LIKE '%C%')", "ci.note IN ('(uncredited)', '(uncredited)', '(uncredited)', '(uncredited)', '(uncredited)')", "cn.country_code = '[us]'", "it.info = 'release dates'", "k.keyword IN ('character-name-in-title', 'character-name-in-title', 'character-name-in-title', 'character-name-in-title', 'character-name-in-title')", "n.gender = 'm' AND n.name LIKE '%Dave%'", "rt.role = 'actor'", "t.production_year > 2004"],
["(mi.info LIKE '%MA%' OR mi.info LIKE '%C%')", "ci.note IN ('(uncredited)', '(uncredited)', '(uncredited)', '(uncredited)', '(uncredited)')", "cn.country_code = '[us]'", "it.info = 'release dates'", "k.keyword IN ('female-nudity', 'female-nudity', 'independent-film', 'independent-film', 'independent-film')", "n.gender = 'm' AND n.name LIKE '%Robert%'", "rt.role = 'actor'", "t.production_year > 2000"],
["(mi.info LIKE '%o%' OR mi.info LIKE '%C%')", "ci.note IN ('(uncredited)', '(uncredited)', '(uncredited)', '(uncredited)', '(uncredited)')", "cn.country_code = '[us]'", "it.info = 'genres'", "k.keyword IN ('independent-film', 'independent-film', 'independent-film', 'female-nudity', 'female-nudity')", "n.gender = 'm' AND n.name LIKE '%Phil%'", "rt.role = 'actor'", "t.production_year > 1999"],
["(mi.info LIKE '%85%' OR mi.info LIKE '%1%')", "ci.note IN ('(writer)', '(executive producer)', '(voice)', '(executive producer)', '(producer)')", "cn.country_code = '[de]'", "it.info = 'release dates'", "k.keyword IN ('character-name-in-title', 'character-name-in-title', 'character-name-in-title', 'character-name-in-title', 'character-name-in-title')", "n.gender = 'm' AND n.name LIKE '%Ken%'", "rt.role = 'actor'", "t.production_year > 1999"],
["(mi.info LIKE '%i%' OR mi.info LIKE '%Spherical%')", "ci.note IN ('(uncredited)', '(uncredited)', '(uncredited)', '(uncredited)', '(uncredited)')", "cn.country_code = '[fr]'", "it.info = 'genres'", "k.keyword IN ('love', 'love', 'murder', 'nudity', 'anal-sex')", "n.gender = 'm' AND n.name LIKE '%Scott%'", "rt.role = 'actor'", "t.production_year > 2005"],
["(mi.info LIKE '%n%' OR mi.info LIKE '%Gwenda%')", "ci.note IN ('(writer)', '(writer)', '(writer)', '(writer)', '(uncredited)')", "cn.country_code = '[ca]'", "it.info = 'release dates'", "k.keyword IN ('independent-film', 'female-nudity', 'female-nudity', 'female-nudity', 'independent-film')", "n.gender = 'm' AND n.name LIKE '%Kevin%'", "rt.role = 'actor'", "t.production_year > 2000"],
["(mi.info LIKE '%USA%' OR mi.info LIKE '%D%')", "ci.note IN ('(executive producer)', '(archive footage)', '(voice)', '(Leader of the Opposition)', '(as Brett Dawson)')", "cn.country_code = '[gb]'", "it.info = 'countries'", "k.keyword IN ('male-nudity', 'love', 'anal-sex', 'male-nudity', 'anal-sex')", "n.gender = 'm' AND n.name LIKE '%Rob%'", "rt.role = 'actor'", "t.production_year > 2001"],
["(mi.info LIKE '%he%' OR mi.info LIKE '%n%')", "ci.note IN ('(production coordinator)', '(co-producer)', '(uncredited)', '(associate producer)', '(co-producer)')", "cn.country_code = '[us]'", "it.info = 'genres'", "k.keyword IN ('love', 'love', 'male-nudity', 'anal-sex', 'anal-sex')", "n.gender = 'm' AND n.name LIKE '%Donald%'", "rt.role = 'actor'", "t.production_year > 2003"],
["(mi.info LIKE '%r%' OR mi.info LIKE '%h%')", "ci.note IN ('(writer)', '(voice)', '(voice)', '(voice)', '(voice)')", "cn.country_code = '[de]'", "it.info = 'release dates'", "k.keyword IN ('character-name-in-title', 'character-name-in-title', 'character-name-in-title', 'character-name-in-title', 'character-name-in-title')", "n.gender = 'm' AND n.name LIKE '%Tom%'", "rt.role = 'actor'", "t.production_year > 2000"],
["(mi.info LIKE '%USA%' OR mi.info LIKE '%o%')", "ci.note IN ('(uncredited)', '(uncredited)', '(uncredited)', '(uncredited)', '(uncredited)')", "cn.country_code = '[gb]'", "it.info = 'genres'", "k.keyword IN ('love', 'homosexual', 'nudity', 'male-nudity', 'anal-sex')", "n.gender = 'm' AND n.name LIKE '%Jon%'", "rt.role = 'actor'", "t.production_year > 2005"],
