["ci.note IN ('(office security)', '(2003; 2005)', '(production office assistant) (as Maya Vaughan)', '(director of photography)', '(bong mistress)')", "it.info = 'genres'", "it.info = 'votes distribution'", "k.keyword IN ('independent-film', 'independent-film', 'based-on-novel', 'independent-film', 'based-on-novel')", "mi.info = 'Comedy'", "n.gender = 'm'"],
["ci.note IN ('(writer)', '(voice)', '(voice)', '(voice)', '(writer)')", "it.info = 'genres'", "it.info = 'votes'", "k.keyword IN ('hardcore', 'hardcore', 'hardcore', 'hardcore', 'hardcore')", "mi.info = 'Short'", "n.gender = 'm'"],
["ci.note IN ('(writer)', '(associate producer)', '(associate producer)', '(writer)', '(associate producer)')", "it.info = 'countries'", "it.info = 'votes distribution'", "k.keyword IN ('hardcore', 'hardcore', 'hardcore', 'hardcore', 'hardcore')", "mi.info = 'USA'", "n.gender = 'm'"],
["ci.note IN ('(executive producer)', '(executive producer)', '(executive producer)', '(uncredited)', '(uncredited)')", "it.info = 'genres'", "it.info = 'rating'", "k.keyword IN ('sex', 'sex', 'sex', 'sex', 'sex')", "mi.info = 'Short'", "n.gender = 'm'"],
["ci.note IN ('(written by)', '(creator)', '(written by)', '(archive footage)', '(written by)')", "it.info = 'countries'", "it.info = 'rating'", "k.keyword IN ('hit-with-a-broom', 'passage-of-time', 'latino-gang', 'respirator', 'crushing-handshake')", "mi.info = 'USA'", "n.gender = 'm'"],
["ci.note IN ('(associate producer)', '(associate producer)', '(associate producer)', '(associate producer)', '(associate producer)')", "it.info = 'countries'", "it.info = 'votes'", "k.keyword IN ('father-son-relationship', 'dog', 'father-daughter-relationship', 'love', 'based-on-play')", "mi.info = 'USA'", "n.gender = 'm'"],
["ci.note IN ('(uncredited)', '(uncredited)', '(uncredited)', '(uncredited)', '(uncredited)')", "it.info = 'countries'", "it.info = 'votes distribution'", "k.keyword IN ('non-fiction', 'anal-sex', 'death', 'surrealism', 'non-fiction')", "mi.info = 'USA'", "n.gender = 'm'"],
["ci.note IN ('(credit only)', '(story)', '(associate producer)', '(voice: English version)', '(co-executive producer)')", "it.info = 'countries'", "it.info = 'votes'", "k.keyword IN ('hardcore', 'hardcore', 'hardcore', 'hardcore', 'hardcore')", "mi.info = 'USA'", "n.gender = 'm'"],
["ci.note IN ('(voice)', '(voice)', '(voice)', '(voice)', '(voice)')", "it.info = 'genres'", "it.info = 'votes'", "k.keyword IN ('murder', 'murder', 'murder', 'murder', 'female-nudity')", "mi.info = 'Documentary'", "n.gender = 'm'"],
["ci.note IN ('(uncredited)', '(uncredited)', '(uncredited)', '(uncredited)', '(uncredited)')", "it.info = 'genres'", "it.info = 'votes distribution'", "k.keyword IN ('character-name-in-title', 'character-name-in-title', 'character-name-in-title', 'character-name-in-title', 'character-name-in-title')", "mi.info = 'Drama'", "n.gender = 'm'"],
["ci.note IN ('(writer)', '(uncredited)', '(uncredited)', '(uncredited)', '(uncredited)')", "it.info = 'genres'", "it.info = 'votes'", "k.keyword IN ('character-name-in-title', 'character-name-in-title', 'character-name-in-title', 'character-name-in-title', 'character-name-in-title')", "mi.info = 'Short'", "n.gender = 'm'"],
["ci.note IN ('(uncredited)', '(uncredited)', '(uncredited)', '(uncredited)', '(uncredited)')", "it.info = 'countries'", "it.info = 'votes'", "k.keyword IN ('sex', 'sex', 'sex', 'sex', 'sex')", "mi.info = 'USA'", "n.gender = 'm'"],
["ci.note IN ('(uncredited)', '(uncredited)', '(uncredited)', '(uncredited)', '(uncredited)')", "it.info = 'countries'", "it.info = 'votes'", "k.keyword IN ('hardcore', 'hardcore', 'hardcore', 'hardcore', 'hardcore')", "mi.info = 'USA'", "n.gender = 'm'"],
["ci.note IN ('(producer)', '(producer)', '(producer)', '(producer)', '(producer)')", "it.info = 'countries'", "it.info = 'rating'", "k.keyword IN ('character-name-in-title', 'character-name-in-title', 'character-name-in-title', 'character-name-in-title', 'character-name-in-title')", "mi.info = 'USA'", "n.gender = 'm'"],
