["ci.note IN ('(screenplay)', '(as Erol Emerle)', '(as I. SvobodovÃ¡)', '(as Noel de Souza)', '(as Bert)')", "it.info = 'opening weekend'", "it.info = 'votes'", "k.keyword IN ('dog-sled', 'public-pool', 'goldilocks', 'nails', 'car-breakdown')", "mi.info = '$36,385 (USA) (10 October 1983) (1 screen)'", "n.gender = 'm'"],
["ci.note IN ('(screenplay)', '(scene director)', '(as Alex A. Brown)', '(as Zeljko Lukovic)', '(Jun''s friend)')", "it.info = 'LD status of availablility'", "it.info = 'votes distribution'", "k.keyword IN ('dog-sled', 'reaching-for-a-gun', 'anagram', 'hitting-a-taxi', 'suriname')", "mi.info = 'Available'", "n.gender = 'm'"],
["ci.note IN ('(screenplay)', '(2001-)', '(as Kashira)', '(as Linos Kokkotos)', '(Film-maker)')", "it.info = 'LD sound encoding'", "it.info = 'votes distribution'", "k.keyword IN ('bus', 'misunderstanding', 'forged-signature', '36th-century', 'commercial-spoof')", "mi.info = 'Digital/Analog-CX'", "n.gender = 'm'"],
["ci.note IN ('(episodes "Speed Baby" 1997 and "The Baby Video" 1998)', '(as Tu Lung)', '(as Lee Yuro)', '(Denmark) (1965)', '(as Sun Sha)')", "it.info = 'quotes'", "it.info = 'rating'", "k.keyword IN ('marriage', 'breakdancing', 'nude-sunbathing', 'semen-stain', 'political-uprising')", "mi.info = 'Paul: All I know is I wanna wake up naked with you for the rest of my life.::Jamie Buchman: You are a strange, amazing man.'", "n.gender = 'm'"],
["ci.note IN ('(as Ramiro Gomez)', '(as Alwynne Taylor)', '(as Terry York)', '(as Holden McGuire)', '(as Dany Daven)')", "it.info = 'trivia'", "it.info = 'votes'", "k.keyword IN ('amateur-cinema', 'art-professor', 'goose-liver', '38-smith-&-wesson', 'british-theatre')", "mi.info = '''Robert Rodriguez (I)'' (qv) says he made the movie to "practice".'", "n.gender = 'm'"],
["ci.note IN ('(production assistant)', '(as Dan-Wie Chao)', '(as Allan Byrns)', '(as Avedon)', '(as Tom Koben)')", "it.info = 'quotes'", "it.info = 'votes'", "k.keyword IN ('blind-man', 'capitulation', 'succinylcholine', 'soccer-field', 'candy-bar')", "mi.info = 'Billy Devereaux: I get the window seat! You don''t need it, you''re blind!::Nick Parker: Got me there, you little prick!'", "n.gender = 'm'"],
["ci.note IN ('(screen story)', '(as Ravi Raja)', '(as JosÃ© R. Pardo)', '(as Rossaldo)', '(as Jarque Zurbano)')", "it.info = 'trivia'", "it.info = 'votes distribution'", "k.keyword IN ('blindness', 'lead', 'alien-sex', 'rock-collection', 'anti-sexual')", "mi.info = 'Based on the Zatoichi film/TV series from Japan.'", "n.gender = 'm'"],
["ci.note IN ('(associate producer)', '(as Douglas Watson)', '(Greengrass)', '(as Bill Lynn)', '(10 Points)')", "it.info = 'LD analog left'", "it.info = 'rating'", "k.keyword IN ('ninja-warrior', 'physical-therapy', 'car-lot', 'sex-orgy', 'pottery-class')", "mi.info = 'Dolby Surround'", "n.gender = 'm'"],
["ci.note IN ('(as Jaime De Hoyos)', '(as Joe Peer)', '(as James Wilson)', '(Windsor Plane)', '(as Roberto Taluy)')", "it.info = 'trivia'", "it.info = 'votes'", "k.keyword IN ('hero', 'poverty-row', 'selling-blood', 'mau-mau', 'metaphysics')", "mi.info = 'Fast action shots were filmed from the back of a pick-up truck.'", "n.gender = 'm'"],
["ci.note IN ('(production assistant)', '(as V. Dyachenko)', '(Miss Perkins)', '(Christy Mahon)', '(as Jill Lacey)')", "it.info = 'LD disc size'", "it.info = 'votes'", "k.keyword IN ('cornfield', 'lapd', 'substitute-bagpipe', 'red-army', 'political-turmoil')", "mi.info = '12'", "n.gender = 'm'"],
["ci.note IN ('(as Ramiro Gomez)', '(as D. Mirzayev)', '(as James Byrnes)', '(as Pat & Mick)', '(as James McKenna)')", "it.info = 'trivia'", "it.info = 'rating'", "k.keyword IN ('death', 'multi-screen', 'speedway', 'ywca', 'tea-time')", "mi.info = 'The movie was intended to go "straight to video".'", "n.gender = 'm'"],
["ci.note IN ('(screen story)', '(Maurice)', '(as Hassan Tariq)', '(developer) (1989)', '(as Sidney Keene)')", "it.info = 'quotes'", "it.info = 'votes'", "k.keyword IN ('jumping-through-a-window', 'political-alliance', 'miocene', 'sibling-reunion', 'hepatitis')", "mi.info = 'MacCready: Mr. Parker, there''s someone I''d like you to meet.::Nick Parker: Oh, nice guy, I hope. Everybody''s trying to kill me lately. [the Assassin enters]'", "n.gender = 'm'"],
["ci.note IN ('(screen story)', '(as A. Pereslegin)', '(Anil''s grandpa)', '(1975-1992)', '(as Detre Anna)')", "it.info = 'LD master format'", "it.info = 'votes'", "k.keyword IN ('ninja', 'scarred', 'gravestone-tipping', 'segments', 'organism')", "mi.info = 'Film'", "n.gender = 'm'"],
["ci.note IN ('(animal trainer) (as Mark Hardin)', '(as Jorge Fontana)', '(as Scotty)', '(as Jose Jolguera)', '(as Lee Chi)')", "it.info = 'weekend gross'", "it.info = 'votes distribution'", "k.keyword IN ('dog-sled', 'silver-platter', 'racehorse', 'walkman', 'child-like')", "mi.info = '$599,100 (USA) (18 March 1984) (414 screens)'", "n.gender = 'm'"],
["ci.note IN ('(as Fermin Barron)', '(as Roy Gunzburg)', '(adaptation) (1993)', '(Tennis) (1981-)', '(as Henri Gicquel)')", "it.info = 'trivia'", "it.info = 'votes'", "k.keyword IN ('mistaken-identity', 'angry-queen', 'former-athlete', 'acid-flashback', 'wichita-falls-texas')", "mi.info = 'No storyboards exist for the film, as ''Robert Rodriguez (I)'' (qv) had no other crew members to show them to.'", "n.gender = 'm'"],
["ci.note IN ('(as Jaime De Hoyos)', '(as Goldie Flame)', '(as RaphaÃ«l Sorin)', '(as Bill Mims)', '(as Margaret Rose)')", "it.info = 'goofs'", "it.info = 'votes'", "k.keyword IN ('hero', 'frozen-north', 'hussein', 'hymn', 'plastic-fork')", "mi.info = 'CONT: When Moco''s men enter the prison looking for Azul, one of them gets shot several times in chest. Later, when he is dragged into a cell, his white shirt shows no signs of blood.'", "n.gender = 'm'"],
["ci.note IN ('(as Fermin Barron)', '(Hi-Tones)', '(as Masha Manesh)', '(executive editor)', '(as Lucette Gil)')", "it.info = 'trivia'", "it.info = 'votes distribution'", "k.keyword IN ('man-with-no-name', 'poultice', 'amyl-nitrate', 'pantomime', 'noble-savage')", "mi.info = 'Many of the exterior scenes were shot on the same two blocks to avoid using up too much money on gas. This is most obvious in the first chase scene, when the Mariachi supposedly runs away from the hotel he''s staying in, yet it can be seen just over his shoulder soon afterward.'", "n.gender = 'm'"],
["ci.note IN ('(episodes "Speed Baby" 1997 and "The Baby Video" 1998)', '(producer: rome)', '(producer) (2008)', '(manga series)', '(neon)')", "it.info = 'release dates'", "it.info = 'votes'", "k.keyword IN ('marriage', 'muhammad-ali', 'lancashire', 'quonset-hut', 'cruiserweight')", "mi.info = 'Finland:23 September 1994'", "n.gender = 'm'"],
["ci.note IN ('(associate producer)', '(as Mr. Kent)', '(location trainee)', '(as V. Kladnitsky)', '(as Fred David)')", "it.info = 'LD catalog number'", "it.info = 'votes distribution'", "k.keyword IN ('bus', 'snowing', 'guilty-verdict', 'lemon-car', 'garden-hose')", "mi.info = '70256'", "n.gender = 'm'"],
["ci.note IN ('(as Fermin Barron)', '(alderman) (1988)', '(reporting chief)', '(storyline) (1981)', '(as Semu Huate)')", "it.info = 'crazy credits'", "it.info = 'votes distribution'", "k.keyword IN ('amateur-cinema', 'ingratitude', 'ecstasy-the-drug', 'herbert-hoover', 'forced-baptism')", "mi.info = 'In the beginning credits, Robert Rodriguez is listed as the editor. In the ending credits he gets sole credit for additional editing.'", "n.gender = 'm'"],
["ci.note IN ('(production assistant)', '(orchestral score)', '(as Firth De Mule)', '(as Jean Vanderpyl)', '(as Todd Shaffer)')", "it.info = 'quotes'", "it.info = 'votes'", "k.keyword IN ('jumping-through-a-window', 'banacha-hospital', 'pastiche', 'burning-train', 'eonomic-sociology')", "mi.info = 'Nick Parker: Unreasonable men make life so difficult.'", "n.gender = 'm'"],
