["ci.note IN ('(uncredited)', '(as Chen Si Cheng)', '(as Mikkel SundÃ¸)', '(as Hedwig Reicher)', '(as Philip Scheib)')", "cn.name LIKE '%i%'", "it.info = 'runtimes'", "it.info = 'votes'", "k.keyword IN ('hotel', 'burning-rubber', 'small-boat', 'dying-daughter', 'throat-slashed')", "mi.info IN ('77', 'Spain:26 April 2008', 'USA:16 January 1926', 'USA:19 March 1996', 'UK:27 July 1932')", "n.gender = 'm'"],
["ci.note IN ('(as Steffen Gregory Foster)', '(as Oudesh Rugh)', '(as Edith Nordberg)', '(Cali Cinema Scene)', '(as Neer Shaha)')", "cn.name LIKE '%t%'", "it.info = 'LD number'", "it.info = 'votes'", "k.keyword IN ('shower', 'cigarette-factory', 'hiding-under-rug', 'curmudgeon', 'tape-player')", "mi.info IN ('3183', 'â¬ 343,184 (Spain)', '$11,234,220 (USA)', 'MET:2409.75 m', 'Italy:4 August 1976')", "n.gender = 'm'"],
["ci.note IN ('(as Steffen Gregory Foster)', '(as Tim Moxey)', '(as Shammi Chibber)', '(as E. De Curtis)', '(stand-in: "Ned")')", "cn.name LIKE '%g%'", "it.info = 'printed media reviews'", "it.info = 'votes'", "k.keyword IN ('timebomb', 'little-king', 'forced-resettlement', 'suicide-by-drowning', 'rich-to-poor')", "mi.info IN ('Chaillet, Jean-Paul. In: "PremiÃ¨re" (France), August 1992, Pg. 19, (MG)', 'India:10 April 1970', '5,300 (Sweden)', 'Spain:9 April 1979', 'MET:2725 m')", "n.gender = 'm'"],
["ci.note IN ('(as Steffen Gregory Foster)', '(prison governor)', '(as Chai No)', '(as Tim Goodwin)', '(as Nandini Iyer)')", "cn.name LIKE '%Ã%'", "it.info = 'genres'", "it.info = 'votes'", "k.keyword IN ('priest', 'love-&-sex', 'raglan-road-dublin', 'trade-treaty', 'camping-in-the-snow')", "mi.info IN ('Sci-Fi', 'UK:160', '1,463,500 (France)', '19668', 'MET:1773.35 m')", "n.gender = 'm'"],
["ci.note IN ('(as Clay Chamberlain)', '(as Benko)', '(Kamo)', '(as Ng Man Ching)', '(as Lisa Lee)')", "cn.name LIKE '%u%'", "it.info = 'quotes'", "it.info = 'votes'", "k.keyword IN ('methadone', 'writing-on-leg-cast', 'crestline', 'cotangent', 'xtc')", "mi.info IN ('Dean: What the hell can you do with an A. A. degree anyway?::Monty: You can get a job substituting retarded kids or something.', '2547', 'Ireland:24 May 2010', 'MET:1388 m', 'Japan:8 March 1924')", "n.gender = 'm'"],
["ci.note IN ('(as Steffen Gregory Foster)', '(as William Pine)', '(as Cheung Simon)', '(as F. Koltsov)', '(as Robert Dern)')", "cn.name LIKE '%(%'", "it.info = 'LD language'", "it.info = 'votes distribution'", "k.keyword IN ('hallucination', 'reject', 'godwin''s-law', 'apollo-spacecraft', 'identical-relatives')", "mi.info IN ('English', 'Emile Haris', 'Russia:160', 'MET:2023.85 m', 'USA:10:57')", "n.gender = 'm'"],
["ci.note IN ('(as Steffen Gregory Foster)', '(segment "Ikiru")', '(as Jasmin)', '(as Nacing Jasmin)', '(as Shoshik Shani)')", "cn.name LIKE '%i%'", "it.info = 'certificates'", "it.info = 'votes'", "k.keyword IN ('gasoline', 'chauvinism', 'reducing-machine', 'theatrical-family', 'whiteness')", "mi.info IN ('Portugal:M/12', 'MET:3094.94 m', 'Boot, Das', 'Japan:7 May 1966', 'France:16 May 1944')", "n.gender = 'm'"],
["ci.note IN ('(as Clay Chamberlain)', '(as Liza Kiselyova)', '(guest puppeteer)', '(as Baby Phiroza)', '(as Jason Jordan)')", "cn.name LIKE '%s%'", "it.info = 'quotes'", "it.info = 'votes distribution'", "k.keyword IN ('methadone', 'lithium-salt', 'cat-statuette', 'beach-cafe', 'channeling-the-dead')", "mi.info IN ('Nick: Yo what makes you think I won''t cut you?', 'India:10 April 2008', 'MET:59.7 m', 'Russia:60', 'MET:2,165 m')", "n.gender = 'm'"],
["ci.note IN ('(as Clay Chamberlain)', '(as Bruno Aissix)', '(as Miguel Rangel)', '(as F.J. Teunissen)', '(as Ousmane Yusef)')", "cn.name LIKE '%e%'", "it.info = 'quotes'", "it.info = 'votes'", "k.keyword IN ('rap-music', 'medical-volunteer', 'apache-indian', 'helpful', 'gitarama-rwanda')", "mi.info IN ('Monty: That''s Naomi. And she''s been working here WAY too long. But she''s actually a pretty sweet girl... when she''s drunk.', 'Brazil:9 July 1982', '6 January 2004 - ?', '3382', 'Greece:K-17')", "n.gender = 'm'"],
["ci.note IN ('(uncredited)', '(as Idris Ho)', '(Parrish''s wife)', '(as Jeff Todd)', '(as Aba Kulkarni)')", "cn.name LIKE '%C%'", "it.info = 'release dates'", "it.info = 'votes distribution'", "k.keyword IN ('sabotage', 'mummy-costume', 'syrian', 'herb-shop', 'cricklewood-london')", "mi.info IN ('USA:4 March 1936', '$1,738,897 (USA)', 'â¬ 227,000', '6168', 'Poland:6 April 2007')", "n.gender = 'm'"],
["ci.note IN ('(as Clay Chamberlain)', '(color photographs)', '(as T. Bozhok)', '(as Nagy Aliz)', '(as Adolf Tandler)')", "cn.name LIKE '%L%'", "it.info = 'quotes'", "it.info = 'rating'", "k.keyword IN ('reference-to-pepsi', 'lambanog', 'saturn-the-planet', 'cosmetic-surgery', 'halloween-party')", "mi.info IN ('Dean: How many times can we have the exact same conversation?::Monty: It''s like we''re stuck in a fucking time paradox where neither our wisdom nor your virginity will ever escape.', 'Italy:July 2009', 'Philippines:2008', 'Serbia:8 March 2003', 'Spain:23 July 1970')", "n.gender = 'm'"],
["ci.note IN ('(as Clay Chamberlain)', '(segment "Juulia")', '(as Steve Prince)', '(cost controller)', '(as Angela Mangui)')", "cn.name LIKE '%a%'", "it.info = 'quotes'", "it.info = 'rating'", "k.keyword IN ('pipe-smoking', 'discus-thrower', 'orwellian', 'dropping-food', 'british-woman')", "mi.info IN ('Bishop: So, when things in your life become stagnant - you know, you''re no longer happy with what you''re doing - then you figure out what''s important to you. Then create your own penis-showing game.', 'Evil is Easy', 'November 1959 -', 'Poland:10 June 2001', 'Their number is up!')", "n.gender = 'm'"],
["ci.note IN ('(as Steffen Gregory Foster)', '(supervisor: Welsh)', '(as A.Krychenkov)', '(as J. MÂª CaÃ±ete)', '(as Jessica Stehl)')", "cn.name LIKE '%E%'", "it.info = 'LD release date'", "it.info = 'votes'", "k.keyword IN ('evil-corporation', 'emergency-room', 'whirlpool', 'men-in-love', 'orga')", "mi.info IN ('26 August 1992', 'Philippines:1981', 'Serbia:October 2013', '830,086 (Germany)', 'Shift Into Turbo!')", "n.gender = 'm'"],
["ci.note IN ('(as Steffen Gregory Foster)', '(as Shoozo Nambu)', '(Rustler Leader)', '(as Nik Robinson)', '(First Millionaire)')", "cn.name LIKE '%­%'", "it.info = 'certificates'", "it.info = 'votes'", "k.keyword IN ('cut-into-pieces', 'gruene-hall', 'year-1934', 'stavanger-norway', 'wireless-telegraphy')", "mi.info IN ('Germany:16', 'Spain:12 May 2013', '1937 -', 'USA:7 November 1935', 'USA:31 August 2000')", "n.gender = 'm'"],
["ci.note IN ('(as Clay Chamberlain)', '(as Joey Cilvera)', '(as L. Merzin)', '(as Sarah Pierce)', '(as Tom Castranova)')", "cn.name LIKE '%c%'", "it.info = 'quotes'", "it.info = 'votes'", "k.keyword IN ('speaking-german', 'uria-turkey', 'murder-of-child', 'audition-tape', 'greenland')", "mi.info IN ('Dan: We need to seize the day. Be enthusiastic.::Floyd: [enthusiastically] Yeah! Carpe deez nuts! God I can''t wait to quit this job!', 'Canada:4:43', '2 August 1982 - ?', 'Austria:July 1909', '1,428,053 (Spain)')", "n.gender = 'm'"],
["ci.note IN ('(as Steffen Gregory Foster)', '(as Ragbubir Yadav)', '(press office)', '(as Betty Baskcomb)', '(Laoag)')", "cn.name LIKE '%a%'", "it.info = 'certificates'", "it.info = 'votes'", "k.keyword IN ('murder', 'school-bus', 'job-creation', 'poor-farmer', 'herbarium')", "mi.info IN ('Spain:13', 'Be Prepared', 'India:26 March 1988', 'UK:24 March 2000', 'UK:4 October 2013')", "n.gender = 'm'"],
["ci.note IN ('(as Steffen Gregory Foster)', '(as Valy Verdy)', '(as Herta Hareiter)', '(color slides)', '(as Selma GÃ¼neri)')", "cn.name LIKE '%o%'", "it.info = 'LD number of sides'", "it.info = 'rating'", "k.keyword IN ('hotel', 'power-station', 'sickness-allowance', 'train-depot', 'sportswriter')", "mi.info IN ('3', 'UK:18 April 2005', 'December 1910 -', '922,615 (Spain)', 'Panama:1 April 2011')", "n.gender = 'm'"],
["ci.note IN ('(as Steffen Gregory Foster)', '(as Tommy Kane)', '(as Bill Handerson)', '(as Brain McCabe)', '(as Jeanne Wilhelm)')", "cn.name LIKE '%o%'", "it.info = 'LD release date'", "it.info = 'rating'", "k.keyword IN ('friendship', 'mean-sister', 'continuity', 'wedding-celebration', 'party-gloves')", "mi.info IN ('1993', 'Turkey:4 June 2010', 'USA:24 April 1970', 'Japan:22 June 1991', 'MET:3059.89 m')", "n.gender = 'm'"],
["ci.note IN ('(as Steffen Gregory Foster)', '(as Otis Meyer)', '(as NigÃ©l Thatch)', '(as RyÃ´ko Nakano)', '(as Jacqui G!)')", "cn.name LIKE '%g%'", "it.info = 'countries'", "it.info = 'votes'", "k.keyword IN ('chair-moves-by-itself', 'soviet-soldier', 'big-game-hunting', 'napkin', 'public-speaker')", "mi.info IN ('UK', '? - 1 February 2002', 'CHF 9,000', 'Japan:17 June 1937', 'Spain:9 June 2011')", "n.gender = 'm'"],
["ci.note IN ('(as Steffen Gregory Foster)', '(as Dorit Kelton)', '(as JirÃ´ Dan)', '(Milkman)', '(archive)')", "cn.name LIKE '%Ã%'", "it.info = 'LD certification'", "it.info = 'votes distribution'", "k.keyword IN ('reference-to-the-book-of-job', 'bait-shop', 'fishing-contest', 'palms', 'group-wedding')", "mi.info IN ('15', '$26,713,187 (USA)', 'Film', 'Chile:30 April 2005', 'UK:19 March 2003')", "n.gender = 'm'"],
["ci.note IN ('(as Clay Chamberlain)', '(as Jack Blystone)', '(as Gary Owen)', '(as Tom Chase)', '(as Lanai Chapman)')", "cn.name LIKE '%n%'", "it.info = 'quotes'", "it.info = 'votes distribution'", "k.keyword IN ('restaurant-hostess', 'nose-picking', 'libor-podmol', 'murder-of-priest', 'usa-patriot-act')", "mi.info IN ('Monty: I must say there''s nothing more attractive than tainted youth. Yes, I am indeed a pervert. Does that offend you?::Natasha: Nope, I think most tainted youths end up being perverts.::Monty: Good fucking answer!::Natasha: Oh and Monty, just so you know, I''m only a minor for another week. I turn eighteen on Wednesday.::Monty: Well, then I guess I better hurry up then. I don''t have much time.', 'USA:18 July 1981', 'USA:27 May 1981', '1 October 1995', 'USA:25 March 1994')", "n.gender = 'm'"],
