["ci.note IN ('(creator)', '(co-executive producer)', '(co-executive producer)', '(archive footage)', '(producer)')", "cn.name LIKE '%Conte%'", "it.info = 'genres'", "it.info = 'rating'", "k.keyword IN ('independent-film', 'independent-film', 'female-nudity', 'independent-film', 'independent-film')", "mi.info IN ('Adult', 'Action', 'Germany:12', 'Canada:14A', 'Australia:MA')", "n.gender = 'm'"],
["ci.note IN ('(executive producer)', '(executive producer)', '(executive producer)', '(executive producer)', '(executive producer)')", "cn.name LIKE '%Warner%'", "it.info = 'genres'", "it.info = 'votes distribution'", "k.keyword IN ('female-nudity', 'independent-film', 'independent-film', 'independent-film', 'female-nudity')", "mi.info IN ('UK:15', 'Finland:K-15', 'SDDS', 'Adult', 'Romance')", "n.gender = 'm'"],
["ci.note IN ('(producer)', '(producer)', '(producer)', '(producer)', '(executive producer)')", "cn.name LIKE '%Broadcasting%'", "it.info = 'countries'", "it.info = 'rating'", "k.keyword IN ('murder', 'oral-sex', 'love', 'non-fiction', 'anal-sex')", "mi.info IN ('UK', 'UK', 'Comedy', 'UK', 'Spanish')", "n.gender = 'm'"],
["ci.note IN ('(executive producer)', '(executive producer)', '(executive producer)', '(executive producer)', '(executive producer)')", "cn.name LIKE '%Video%'", "it.info = 'countries'", "it.info = 'top 250 rank'", "k.keyword IN ('number-in-title', 'male-nudity', 'anal-sex', 'non-fiction', 'number-in-title')", "mi.info IN ('USA', 'USA', 'USA', 'USA', 'USA')", "n.gender = 'm'"],
["ci.note IN ('(credit only)', '(production assistant)', '(co-executive producer)', '(credit only)', '(written by)')", "cn.name LIKE '%Television%'", "it.info = 'genres'", "it.info = 'votes distribution'", "k.keyword IN ('independent-film', 'female-nudity', 'independent-film', 'independent-film', 'independent-film')", "mi.info IN ('PFM:35 mm', 'PFM:35 mm', 'PFM:35 mm', 'Drama', 'Drama')", "n.gender = 'm'"],
["ci.note IN ('(producer)', '(production assistant)', '(production assistant)', '(production assistant)', '(production assistant)')", "cn.name LIKE '%Vista%'", "it.info = 'genres'", "it.info = 'votes'", "k.keyword IN ('character-name-in-title', 'character-name-in-title', 'character-name-in-title', 'character-name-in-title', 'character-name-in-title')", "mi.info IN ('Short', 'Short', 'Short', 'Drama', 'Short')", "n.gender = 'm'"],
["ci.note IN ('(voice: English version)', '(creator)', '(archive footage)', '(co-producer)', '(voice: English version)')", "cn.name LIKE '%20th%'", "it.info = 'countries'", "it.info = 'votes distribution'", "k.keyword IN ('independent-film', 'independent-film', 'independent-film', 'female-nudity', 'female-nudity')", "mi.info IN ('USA', 'USA', 'USA', 'USA', 'USA')", "n.gender = 'm'"],
["ci.note IN ('(producer)', '(producer)', '(producer)', '(producer)', '(producer)')", "cn.name LIKE '%American%'", "it.info = 'genres'", "it.info = 'votes distribution'", "k.keyword IN ('nudity', 'oral-sex', 'based-on-novel', 'homosexual', 'love')", "mi.info IN ('Drama', 'PFM:35 mm', 'Drama', 'PFM:35 mm', 'Drama')", "n.gender = 'm'"],
["ci.note IN ('(co-producer)', '(written by)', '(co-producer)', '(script supervisor)', '(creator)')", "cn.name LIKE '%Columbia%'", "it.info = 'countries'", "it.info = 'votes'", "k.keyword IN ('independent-film', 'female-nudity', 'female-nudity', 'independent-film', 'independent-film')", "mi.info IN ('UK', 'Spanish', 'Drama', 'Spanish', 'UK')", "n.gender = 'm'"],
["ci.note IN ('(production assistant)', '(production assistant)', '(production assistant)', '(production assistant)', '(production assistant)')", "cn.name LIKE '%Broadcasting%'", "it.info = 'countries'", "it.info = 'top 250 rank'", "k.keyword IN ('character-name-in-title', 'character-name-in-title', 'character-name-in-title', 'character-name-in-title', 'character-name-in-title')", "mi.info IN ('UK', 'Documentary', 'Comedy', 'UK', 'Documentary')", "n.gender = 'm'"],
["ci.note IN ('(producer)', '(executive producer)', '(producer)', '(executive producer)', '(producer)')", "cn.name LIKE '%The%'", "it.info = 'genres'", "it.info = 'votes'", "k.keyword IN ('independent-film', 'female-nudity', 'independent-film', 'independent-film', 'independent-film')", "mi.info IN ('RAT:1.85 : 1', 'Comedy', 'USA:R', 'RAT:1.85 : 1', 'Comedy')", "n.gender = 'm'"],
