["ci.note = '(archive footage)'", "cn.country_code = '[se]'", "mc.note LIKE '%A%'", "mc.note NOT LIKE '%3%'", "n.name LIKE '%r%'", "n.name NOT LIKE '%D%'", "rt.role = 'actor'"],
["ci.note = '(uncredited)'", "cn.country_code = '[fi]'", "mc.note LIKE '%)%'", "mc.note NOT LIKE '%l%'", "n.name LIKE '%c%'", "n.name NOT LIKE '%R%'", "rt.role = 'actor'"],
["ci.note = '(archive footage)'", "cn.country_code = '[us]'", "mc.note LIKE '%(%'", "mc.note NOT LIKE '%U%'", "n.name LIKE '%M%'", "n.name NOT LIKE '%C%'", "rt.role = 'actor'"],
["ci.note = '(screenplay)'", "cn.country_code = '[us]'", "mc.note LIKE '%(%'", "mc.note NOT LIKE '%D%'", "n.name LIKE '%i%'", "n.name NOT LIKE '%u%'", "rt.role = 'writer'"],
["ci.note = '(set production assistant) (uncredited)'", "cn.country_code = '[se]'", "mc.note LIKE '%w%'", "mc.note NOT LIKE '%t%'", "n.name LIKE '%a%'", "n.name NOT LIKE '%i%'", "rt.role = 'miscellaneous crew'"],
["ci.note = '(uncredited)'", "cn.country_code = '[nl]'", "mc.note LIKE '%(%'", "mc.note NOT LIKE '%0%'", "n.name LIKE '%d%'", "n.name NOT LIKE '%e%'", "rt.role = 'actor'"],
["ci.note = '(uncredited)'", "cn.country_code = '[nl]'", "mc.note LIKE '%)%'", "mc.note NOT LIKE '%N%'", "n.name LIKE '%y%'", "n.name NOT LIKE '%r%'", "rt.role = 'actor'"],
["ci.note = '(uncredited)'", "cn.country_code = '[ch]'", "mc.note LIKE '%(%'", "mc.note NOT LIKE '%0%'", "n.name LIKE '%g%'", "n.name NOT LIKE '%h%'", "rt.role = 'actor'"],
["ci.note = '(adr loop group)'", "cn.country_code = '[br]'", "mc.note LIKE '%(%'", "mc.note NOT LIKE '%0%'", "n.name LIKE '%i%'", "n.name NOT LIKE '%u%'", "rt.role = 'miscellaneous crew'"],
["ci.note = '(uncredited)'", "cn.country_code = '[us]'", "mc.note LIKE '%0%'", "mc.note NOT LIKE '%c%'", "n.name LIKE '%u%'", "n.name NOT LIKE '%,%'", "rt.role = 'actor'"],
["ci.note = '(archive footage) (uncredited)'", "cn.country_code = '[jp]'", "mc.note LIKE '%a%'", "mc.note NOT LIKE '%5%'", "n.name LIKE '%,%'", "n.name NOT LIKE '%i%'", "rt.role = 'actor'"],
["ci.note = '(voice)'", "cn.country_code = '[nl]'", "mc.note LIKE '%V%'", "mc.note NOT LIKE '%4%'", "n.name LIKE '%v%'", "n.name NOT LIKE '%a%'", "rt.role = 'actor'"],
["ci.note = '(executive producer)'", "cn.country_code = '[ar]'", "mc.note LIKE '%)%'", "mc.note NOT LIKE '%0%'", "n.name LIKE '%J%'", "n.name NOT LIKE '%i%'", "rt.role = 'producer'"],
["ci.note = '(uncredited)'", "cn.country_code = '[fr]'", "mc.note LIKE '%2%'", "mc.note NOT LIKE '%n%'", "n.name LIKE '%n%'", "n.name NOT LIKE '%K%'", "rt.role = 'actor'"],
["ci.note = '(producer)'", "cn.country_code = '[nl]'", "mc.note LIKE '%a%'", "mc.note NOT LIKE '%0%'", "n.name LIKE '%i%'", "n.name NOT LIKE '%n%'", "rt.role = 'producer'"],
["ci.note = '(voice)'", "cn.country_code = '[fr]'", "mc.note LIKE '%a%'", "mc.note NOT LIKE '%6%'", "n.name LIKE '%u%'", "n.name NOT LIKE '%o%'", "rt.role = 'actor'"],
["ci.note = '(uncredited)'", "cn.country_code = '[nl]'", "mc.note LIKE '%0%'", "mc.note NOT LIKE '%h%'", "n.name LIKE '%P%'", "n.name NOT LIKE '%r%'", "rt.role = 'actor'"],
["ci.note = '(voice)'", "cn.country_code = '[fr]'", "mc.note LIKE '%c%'", "mc.note NOT LIKE '%a%'", "n.name LIKE '%e%'", "n.name NOT LIKE '%l%'", "rt.role = 'actor'"],
["ci.note = '(voice)'", "cn.country_code = '[us]'", "mc.note LIKE '%1%'", "mc.note NOT LIKE '%V%'", "n.name LIKE '%r%'", "n.name NOT LIKE '%d%'", "rt.role = 'actor'"],
["ci.note = '(uncredited)'", "cn.country_code = '[us]'", "mc.note LIKE '%o%'", "mc.note NOT LIKE '%u%'", "n.name LIKE '%l%'", "n.name NOT LIKE '%n%'", "rt.role = 'actor'"],
["ci.note = '(voice)'", "cn.country_code = '[us]'", "mc.note LIKE '%r%'", "mc.note NOT LIKE '%t%'", "n.name LIKE '%p%'", "n.name NOT LIKE '%i%'", "rt.role = 'actor'"],
["ci.note = '(co-executive producer)'", "cn.country_code = '[us]'", "mc.note LIKE '%o%'", "mc.note NOT LIKE '%S%'", "n.name LIKE '%g%'", "n.name NOT LIKE '%h%'", "rt.role = 'producer'"],
["ci.note = '(stand-in)'", "cn.country_code = '[us]'", "mc.note LIKE '%0%'", "mc.note NOT LIKE '%a%'", "n.name LIKE '%s%'", "n.name NOT LIKE '%e%'", "rt.role = 'miscellaneous crew'"],
["ci.note = '(production assistant)'", "cn.country_code = '[ar]'", "mc.note LIKE '%(%'", "mc.note NOT LIKE '%0%'", "n.name LIKE '%r%'", "n.name NOT LIKE '%a%'", "rt.role = 'miscellaneous crew'"],
["ci.note = '(uncredited)'", "cn.country_code = '[nl]'", "mc.note LIKE '%a%'", "mc.note NOT LIKE '%e%'", "n.name LIKE '%e%'", "n.name NOT LIKE '%J%'", "rt.role = 'actor'"],
["ci.note = '(uncredited)'", "cn.country_code = '[de]'", "mc.note LIKE '%(%'", "mc.note NOT LIKE '%V%'", "n.name LIKE '%v%'", "n.name NOT LIKE '%n%'", "rt.role = 'actor'"],
["ci.note = '(producer)'", "cn.country_code = '[es]'", "mc.note LIKE '%(%'", "mc.note NOT LIKE '%n%'", "n.name LIKE '%a%'", "n.name NOT LIKE '%³%'", "rt.role = 'producer'"],
["ci.note = '(voice)'", "cn.country_code = '[de]'", "mc.note LIKE '%m%'", "mc.note NOT LIKE '%i%'", "n.name LIKE '%J%'", "n.name NOT LIKE '%L%'", "rt.role = 'actor'"],
["ci.note = '(uncredited)'", "cn.country_code = '[ru]'", "mc.note LIKE '%a%'", "mc.note NOT LIKE '%6%'", "n.name LIKE '%d%'", "n.name NOT LIKE '%a%'", "rt.role = 'actor'"],
["ci.note = '(archive footage)'", "cn.country_code = '[us]'", "mc.note LIKE '%)%'", "mc.note NOT LIKE '%V%'", "n.name LIKE '%k%'", "n.name NOT LIKE '%i%'", "rt.role = 'actor'"],
["ci.note = '(supervising producer)'", "cn.country_code = '[us]'", "mc.note LIKE '%(%'", "mc.note NOT LIKE '%a%'", "n.name LIKE '%y%'", "n.name NOT LIKE '%i%'", "rt.role = 'producer'"],
["ci.note = '(voice: English version)'", "cn.country_code = '[gb]'", "mc.note LIKE '%)%'", "mc.note NOT LIKE '%a%'", "n.name LIKE '%,%'", "n.name NOT LIKE '%n%'", "rt.role = 'actor'"],
["ci.note = '(location manager)'", "cn.country_code = '[it]'", "mc.note LIKE '%t%'", "mc.note NOT LIKE '%2%'", "n.name LIKE '%i%'", "n.name NOT LIKE '%n%'", "rt.role = 'miscellaneous crew'"],
["ci.note = '(uncredited)'", "cn.country_code = '[it]'", "mc.note LIKE '%2%'", "mc.note NOT LIKE '%e%'", "n.name LIKE '%w%'", "n.name NOT LIKE '%r%'", "rt.role = 'actor'"],
["ci.note = '(producer)'", "cn.country_code = '[cn]'", "mc.note LIKE '%i%'", "mc.note NOT LIKE '%0%'", "n.name LIKE '%n%'", "n.name NOT LIKE '%H%'", "rt.role = 'producer'"],
["ci.note = '(written by)'", "cn.country_code = '[us]'", "mc.note LIKE '%S%'", "mc.note NOT LIKE '%0%'", "n.name LIKE '%v%'", "n.name NOT LIKE '%y%'", "rt.role = 'writer'"],
["ci.note = '(archive footage)'", "cn.country_code = '[us]'", "mc.note LIKE '%(%'", "mc.note NOT LIKE '%A%'", "n.name LIKE '%n%'", "n.name NOT LIKE '%i%'", "rt.role = 'actor'"],
["ci.note = '(producer)'", "cn.country_code = '[us]'", "mc.note LIKE '%i%'", "mc.note NOT LIKE '%a%'", "n.name LIKE '%y%'", "n.name NOT LIKE '%a%'", "rt.role = 'producer'"],
["ci.note = '(production assistant)'", "cn.country_code = '[gb]'", "mc.note LIKE '%c%'", "mc.note NOT LIKE '%e%'", "n.name LIKE '%,%'", "n.name NOT LIKE '%y%'", "rt.role = 'miscellaneous crew'"],
["ci.note = '(producer)'", "cn.country_code = '[hk]'", "mc.note LIKE '%n%'", "mc.note NOT LIKE '%H%'", "n.name LIKE '%t%'", "n.name NOT LIKE '%k%'", "rt.role = 'producer'"],
["ci.note = '(production assistant)'", "cn.country_code = '[de]'", "mc.note LIKE '%(%'", "mc.note NOT LIKE '%D%'", "n.name LIKE '%D%'", "n.name NOT LIKE '%r%'", "rt.role = 'miscellaneous crew'"],
["ci.note = '(uncredited)'", "cn.country_code = '[it]'", "mc.note LIKE '%c%'", "mc.note NOT LIKE '%l%'", "n.name LIKE '%n%'", "n.name NOT LIKE '%h%'", "rt.role = 'actor'"],
["ci.note = '(uncredited)'", "cn.country_code = '[us]'", "mc.note LIKE '%V%'", "mc.note NOT LIKE '%6%'", "n.name LIKE '%a%'", "n.name NOT LIKE '%s%'", "rt.role = 'actor'"],
["ci.note = '(producer)'", "cn.country_code = '[us]'", "mc.note LIKE '%)%'", "mc.note NOT LIKE '%r%'", "n.name LIKE '%a%'", "n.name NOT LIKE '%e%'", "rt.role = 'producer'"],
["ci.note = '(uncredited)'", "cn.country_code = '[us]'", "mc.note LIKE '%0%'", "mc.note NOT LIKE '%U%'", "n.name LIKE '%l%'", "n.name NOT LIKE '%c%'", "rt.role = 'actor'"],
["ci.note = '(executive producer)'", "cn.country_code = '[ch]'", "mc.note LIKE '%t%'", "mc.note NOT LIKE '%0%'", "n.name LIKE '%A%'", "n.name NOT LIKE '%o%'", "rt.role = 'producer'"],
["ci.note = '(2004)'", "cn.country_code = '[us]'", "mc.note LIKE '%(%'", "mc.note NOT LIKE '%0%'", "n.name LIKE '%s%'", "n.name NOT LIKE '%O%'", "rt.role = 'actor'"],
["ci.note = '(story)'", "cn.country_code = '[us]'", "mc.note LIKE '%(%'", "mc.note NOT LIKE '%d%'", "n.name LIKE '%d%'", "n.name NOT LIKE '%F%'", "rt.role = 'writer'"],
["ci.note = '(voice)'", "cn.country_code = '[us]'", "mc.note LIKE '%e%'", "mc.note NOT LIKE '%5%'", "n.name LIKE '%,%'", "n.name NOT LIKE '%s%'", "rt.role = 'actor'"],
["ci.note = '(uncredited)'", "cn.country_code = '[nl]'", "mc.note LIKE '%t%'", "mc.note NOT LIKE '%T%'", "n.name LIKE '%n%'", "n.name NOT LIKE '%r%'", "rt.role = 'actor'"]
