["ci.note IN ('(presenter)', '(presenter)', '(uncredited)', '(uncredited)', '(uncredited)')", "cn.country_code = '[us]'", "mc.note LIKE '%Blu%'", "mc.note LIKE '%USA%'", "n.gender = 'm'", "n.name LIKE '%Beau%'", "rt.role = 'actor'", "t.production_year > 1967", "t.production_year < 1976"],
["ci.note IN ('(uncredited)', '(uncredited)', '(uncredited)', '(uncredited)', '(uncredited)')", "cn.country_code = '[fr]'", "mc.note LIKE '%o%'", "mc.note LIKE '%DVD%'", "n.gender = 'm'", "n.name LIKE '%Lee%'", "rt.role = 'actor'", "t.production_year > 1995", "t.production_year < 2008"],
["ci.note IN ('(uncredited)', '(uncredited)', '(uncredited)', '(uncredited)', '(uncredited)')", "cn.country_code = '[us]'", "mc.note LIKE '%USA%'", "mc.note LIKE '%2005%'", "n.gender = 'm'", "n.name LIKE '%Fox%'", "rt.role = 'actor'", "t.production_year > 1959", "t.production_year < 1980"],
["ci.note IN ('(uncredited)', '(executive producer)', '(producer)', '(uncredited)', '(executive producer)')", "cn.country_code = '[us]'", "mc.note LIKE '%production%'", "mc.note LIKE '%2006%'", "n.gender = 'm'", "n.name LIKE '%i%'", "rt.role = 'actor'", "t.production_year > 1935", "t.production_year < 1963"],
["ci.note IN ('(writer)', '(writer)', '(writer)', '(uncredited)', '(uncredited)')", "cn.country_code = '[us]'", "mc.note LIKE '%in%'", "mc.note LIKE '%TV%'", "n.gender = 'm'", "n.name LIKE '%Edwards%'", "rt.role = 'actor'", "t.production_year > 1990", "t.production_year < 2013"],
["ci.note IN ('(as Laxmikant)', '(uncredited)', '(uncredited)', '(uncredited)', '(executive producer)')", "cn.country_code = '[fr]'", "mc.note LIKE '%in%'", "mc.note LIKE '%i%'", "n.gender = 'm'", "n.name LIKE '%George%'", "rt.role = 'actor'", "t.production_year > 1900", "t.production_year < 1993"],
["ci.note IN ('(producer)', '(production assistant)', '(uncredited)', '(associate producer)', '(uncredited)')", "cn.country_code = '[us]'", "mc.note LIKE '%2003%'", "mc.note LIKE '%1958%'", "n.gender = 'm'", "n.name LIKE '%William%'", "rt.role = 'actor'", "t.production_year > 1977", "t.production_year < 2010"],
["ci.note IN ('(voice)', '(associate producer)', '(co-producer)', '(screenplay)', '(story)')", "cn.country_code = '[us]'", "mc.note LIKE '%e%'", "mc.note LIKE '%USA%'", "n.gender = 'm'", "n.name LIKE '%Godfrey%'", "rt.role = 'actor'", "t.production_year > 1954", "t.production_year < 2005"],
["ci.note IN ('(uncredited)', '(production assistant)', '(uncredited)', '(uncredited)', '(uncredited)')", "cn.country_code = '[us]'", "mc.note LIKE '%co%'", "mc.note LIKE '%2001%'", "n.gender = 'm'", "n.name LIKE '%Dixon%'", "rt.role = 'actor'", "t.production_year > 1978", "t.production_year < 2013"],
["ci.note IN ('(uncredited)', '(production assistant)', '(uncredited)', '(executive producer)', '(associate producer)')", "cn.country_code = '[fr]'", "mc.note LIKE '%media%'", "mc.note LIKE '%1916%'", "n.gender = 'm'", "n.name LIKE '%Walt%'", "rt.role = 'actor'", "t.production_year > 1916", "t.production_year < 2012"],
["ci.note IN ('(uncredited)', '(uncredited)', '(uncredited)', '(uncredited)', '(uncredited)')", "cn.country_code = '[us]'", "mc.note LIKE '%co%'", "mc.note LIKE '%as%'", "n.gender = 'm'", "n.name LIKE '%Jack%'", "rt.role = 'actor'", "t.production_year > 1997", "t.production_year < 2001"],
