["(mc.note LIKE '%e%' OR mc.note LIKE '%r%')", "ci.note IN ('(as Preston ''Bo-P'' Barnes)', '(as Kwok-Hing Lee)', '(as Iro Gerda)', '(as Jamie Burton)', '(as Lam Chi Bok)')", "cn.country_code = '[us]'", "n.gender = 'm' AND n.name LIKE '%,%'", "rt.role = 'actor'", "t.production_year >= 1975 AND t.production_year <= 2012"],
["(mc.note LIKE '%r%' OR mc.note LIKE '%r%')", "ci.note IN ('(as Dan Clark)', '(as Steve Hall)', '(as Ulla Taguchi)', '(French play)', '(as Jennifer An)')", "cn.country_code = '[ar]'", "n.gender = 'm' AND n.name LIKE '%,%'", "rt.role = 'actor'", "t.production_year >= 1984 AND t.production_year <= 2015"],
["(mc.note LIKE '%)%' OR mc.note LIKE '%U%')", "ci.note IN ('(uncredited)', '(as C.M. Gampel)', '(drunk girl)', '(as Natascha Bintz)', '(as Matt Aubrey)')", "cn.country_code = '[us]'", "n.gender = 'm' AND n.name LIKE '%h%'", "rt.role = 'actor'", "t.production_year >= 1893 AND t.production_year <= 1957"],
["(mc.note LIKE '%(%' OR mc.note LIKE '%K%')", "ci.note IN ('(as Man Ching Chan)', '(as V. Konovalov)', '(as Raul Lobo)', '(rumored) (rumored)', '(as Stefan Gucki)')", "cn.country_code = '[hk]'", "n.gender = 'm' AND n.name LIKE '%a%'", "rt.role = 'actor'", "t.production_year >= 1984 AND t.production_year <= 2006"],
["(mc.note LIKE '%)%' OR mc.note LIKE '%D%')", "ci.note IN ('(uncredited)', '(as Edwin Morrow)', '(post assistant)', '(as Tom Stanley)', '(as Amina Suicide)')", "cn.country_code = '[br]'", "n.gender = 'm' AND n.name LIKE '%r%'", "rt.role = 'actor'", "t.production_year >= 1934 AND t.production_year <= 1981"],
["(mc.note LIKE '%)%' OR mc.note LIKE '%D%')", "ci.note IN ('(uncredited)', '(as P. Fedoseyev)', '(segments 1 & 6)', '(as Vilallonga)', '(as David Warner)')", "cn.country_code = '[us]'", "n.gender = 'm' AND n.name LIKE '%B%'", "rt.role = 'actor'", "t.production_year >= 1922 AND t.production_year <= 1955"],
["(mc.note LIKE '%)%' OR mc.note LIKE '%S%')", "ci.note IN ('(archive footage) (uncredited)', '(Village Idiot)', '(le Touffe)', '(as Jon Wilson)', '(as Alby Castro)')", "cn.country_code = '[es]'", "n.gender = 'm' AND n.name LIKE '%o%'", "rt.role = 'actor'", "t.production_year >= 1927 AND t.production_year <= 2004"],
["(mc.note LIKE '%e%' OR mc.note LIKE '%n%')", "ci.note IN ('(as Jean-Luke CotÃ©)', '(as Milerka Nervi)', '(as Chan Heng)', '(as Pvt. Glover)', '(as Rita Smyth)')", "cn.country_code = '[nl]'", "n.gender = 'm' AND n.name LIKE '%©%'", "rt.role = 'actor'", "t.production_year >= 1992 AND t.production_year <= 2012"],
["(mc.note LIKE '%o%' OR mc.note LIKE '%e%')", "ci.note IN ('(uncredited)', '(as Alexia)', '(as Mike Petersen)', '(as Friedl Irrall)', '(as Rhea Berger)')", "cn.country_code = '[us]'", "n.gender = 'm' AND n.name LIKE '%o%'", "rt.role = 'actor'", "t.production_year >= 1879 AND t.production_year <= 1966"],
["(mc.note LIKE '%l%' OR mc.note LIKE '%h%')", "ci.note IN ('(uncredited)', '(as Will Lee)', '(Durochka)', '(as Mahmud Khan)', '(as B. Zakharova)')", "cn.country_code = '[us]'", "n.gender = 'm' AND n.name LIKE '%,%'", "rt.role = 'actor'", "t.production_year >= 1928 AND t.production_year <= 1968"],
["(mc.note LIKE '%o%' OR mc.note LIKE '%(%')", "ci.note IN ('(Age 8-13)', '(as Saiyanidi)', '(as A. Delpy)', '(as ErgÃ¼n Simsek)', '(as Lepers)')", "cn.country_code = '[us]'", "n.gender = 'm' AND n.name LIKE '%,%'", "rt.role = 'actor'", "t.production_year >= 2004 AND t.production_year <= 2011"],
["(mc.note LIKE '%(%' OR mc.note LIKE '%l%')", "ci.note IN ('(uncredited)', '(as JÃ¶rg LÃ¶w)', '(as Ed Schaff)', '(as Leung Ho Kai)', '(1888)')", "cn.country_code = '[cz]'", "n.gender = 'm' AND n.name LIKE '%H%'", "rt.role = 'actor'", "t.production_year >= 1890 AND t.production_year <= 2014"],
["(mc.note LIKE '%r%' OR mc.note LIKE '%a%')", "ci.note IN ('(uncredited)', '(Rolf)', '(as Fred Wright)', '(as Ashley Haas)', '(as Miriam Gallego)')", "cn.country_code = '[us]'", "n.gender = 'm' AND n.name LIKE '%s%'", "rt.role = 'actor'", "t.production_year >= 1952 AND t.production_year <= 1982"],
["(mc.note LIKE '%9%' OR mc.note LIKE '%(%')", "ci.note IN ('(uncredited)', '(as Luchy Lopez)', '(as Alexandra Kelm)', '(as Yung-jae Dokko)', '(as M. Barsac)')", "cn.country_code = '[fr]'", "n.gender = 'm' AND n.name LIKE '%t%'", "rt.role = 'actor'", "t.production_year >= 1981 AND t.production_year <= 2010"],
