["(mc.note LIKE '%t%' OR mc.note LIKE '%a%')", "ci.note IN ('(archive footage)', '(as J. Kociniak)', '(as Felipe Savage)', '(as E.L. Nelstedt)', '(as Ayce Nana Nur)')", "cn.country_code = '[au]'", "n.gender = 'm' AND n.name LIKE '%s%'", "rt.role = 'actor'", "t.production_year >= 1970 AND t.production_year <= 1994"],
["(mc.note LIKE '%)%' OR mc.note LIKE '%e%')", "ci.note IN ('(uncredited)', '(as Rozenda Bernal)', '(as Monika Tajma)', '(as Jenny Lynn)', '(as V. Yakut)')", "cn.country_code = '[de]'", "n.gender = 'm' AND n.name LIKE '%l%'", "rt.role = 'actor'", "t.production_year >= 1961 AND t.production_year <= 1984"],
["(mc.note LIKE '%U%' OR mc.note LIKE '%(%')", "ci.note IN ('(as Real Andrews)', '(as Billy Tannen)', '(as JÃºlia Otero)', '(double: Mr. Caine)', '(as RenÃ© Lovins)')", "cn.country_code = '[us]'", "n.gender = 'm' AND n.name LIKE '%Ã%'", "rt.role = 'actor'", "t.production_year >= 1960 AND t.production_year <= 1994"],
["(mc.note LIKE '%)%' OR mc.note LIKE '%)%')", "ci.note IN ('(as David Cass)', '(as J.J. Kendall)', '(as Gordon Parker)', '(as S. Strelkov)', '(as Pradeep S. Pai)')", "cn.country_code = '[us]'", "n.gender = 'm' AND n.name LIKE '%D%'", "rt.role = 'actor'", "t.production_year >= 1967 AND t.production_year <= 1983"],
["(mc.note LIKE '%V%' OR mc.note LIKE '%1%')", "ci.note IN ('(as Jacques Des Baillets)', '(as Mindy Naud)', '(as Stephen Hopper)', '(as Joachim Solis)', '(as Hans Mirr)')", "cn.country_code = '[us]'", "n.gender = 'm' AND n.name LIKE '%i%'", "rt.role = 'actor'", "t.production_year >= 1971 AND t.production_year <= 1991"],
["(mc.note LIKE '%)%' OR mc.note LIKE '%S%')", "ci.note IN ('(as Lucien Jerome)', '(as Ava Lyn Readdy)', '(Hospital)', '(as Recep Temur)', '(Series 1) (1963)')", "cn.country_code = '[us]'", "n.gender = 'm' AND n.name LIKE '%Ã%'", "rt.role = 'actor'", "t.production_year >= 1984 AND t.production_year <= 1987"],
["(mc.note LIKE '%m%' OR mc.note LIKE '%)%')", "ci.note IN ('(uncredited)', '(as Betty Gobecki)', '(as Joan Lahav)', '(as Bo Ling)', '(as Sakthi Kapoor)')", "cn.country_code = '[de]'", "n.gender = 'm' AND n.name LIKE '%o%'", "rt.role = 'actor'", "t.production_year >= 1961 AND t.production_year <= 1983"],
["(mc.note LIKE '%V%' OR mc.note LIKE '%n%')", "ci.note IN ('(1984-1986)', '(as Roma Kravtsov)', '(as Ameen Sayani)', '(as Deana Karas)', '(as Topsy Collins)')", "cn.country_code = '[ca]'", "n.gender = 'm' AND n.name LIKE '%y%'", "rt.role = 'actor'", "t.production_year >= 1962 AND t.production_year <= 1971"],
["(mc.note LIKE '%1%' OR mc.note LIKE '%b%')", "ci.note IN ('(uncredited)', '(as Gordon DeVol)', '(as Mania Antonova)', '(as Bill Da Prado)', '(as KyÃ´mi Sakura)')", "cn.country_code = '[us]'", "n.gender = 'm' AND n.name LIKE '%r%'", "rt.role = 'actor'", "t.production_year >= 1964 AND t.production_year <= 1993"],
["(mc.note LIKE '%B%' OR mc.note LIKE '%(%')", "ci.note IN ('(as ImbrÃ³ Gaetano)', '(as Dieter Sasse)', '(as Maite Chacon)', '(as Rick Klein)', '(as Mary Gale)')", "cn.country_code = '[us]'", "n.gender = 'm' AND n.name LIKE '%a%'", "rt.role = 'actor'", "t.production_year >= 1962 AND t.production_year <= 1977"],
["(mc.note LIKE '%0%' OR mc.note LIKE '%D%')", "ci.note IN ('(as Lee De Broux)', '(as Claude Loir)', '(as Mike Carlson)', '(as Charytin Goyco)', '(as K. Valentic)')", "cn.country_code = '[us]'", "n.gender = 'm' AND n.name LIKE '%r%'", "rt.role = 'actor'", "t.production_year >= 1965 AND t.production_year <= 1989"],
["(mc.note LIKE '%r%' OR mc.note LIKE '%)%')", "ci.note IN ('(as Tony Franciosa)', '(as Tereza SuÃ¡rez)', '(as L. Antonyuk)', '(as Bayulma Marika)', '(as Miguel Rueda)')", "cn.country_code = '[us]'", "n.gender = 'm' AND n.name LIKE '%s%'", "rt.role = 'actor'", "t.production_year >= 1974 AND t.production_year <= 1976"],
["(mc.note LIKE '%e%' OR mc.note LIKE '%)%')", "ci.note IN ('(voice)', '(1987,1988-1989)', '(as James Hatchard)', '(as Estelita)', '(as Vanni Ribisi)')", "cn.country_code = '[fi]'", "n.gender = 'm' AND n.name LIKE '%h%'", "rt.role = 'actor'", "t.production_year >= 1972 AND t.production_year <= 1991"],
["(mc.note LIKE '%)%' OR mc.note LIKE '%U%')", "ci.note IN ('(as Vendel Hudiburg)', '(as Ivana DevÃ¡tÃ¡)', '(as M. Delahaye)', '(as Terrance Scott)', '(as Johan Reborg)')", "cn.country_code = '[us]'", "n.gender = 'm' AND n.name LIKE '%H%'", "rt.role = 'actor'", "t.production_year >= 1966 AND t.production_year <= 1980"],
["(mc.note LIKE '%1%' OR mc.note LIKE '%)%')", "ci.note IN ('(as Bob Diamond)', '(performance model)', '(as Baby Bubbles)', '(chief executive)', '(as Jimmi Fenomeno)')", "cn.country_code = '[us]'", "n.gender = 'm' AND n.name LIKE '%i%'", "rt.role = 'actor'", "t.production_year >= 1963 AND t.production_year <= 1969"],
["(mc.note LIKE '%(%' OR mc.note LIKE '%a%')", "ci.note IN ('(uncredited)', '(as KEN)', '(as Mac Morray)', '(as Darwin W. Lamb)', '(as Yo Maurette)')", "cn.country_code = '[gb]'", "n.gender = 'm' AND n.name LIKE '%e%'", "rt.role = 'actor'", "t.production_year >= 1962 AND t.production_year <= 1972"],
["(mc.note LIKE '%S%' OR mc.note LIKE '%U%')", "ci.note IN ('(as Fan Guang)', '(as Ed Nakomoto)', '(parts 1, 2 and 4)', '(liaison: AFTRS)', '(acting tutor)')", "cn.country_code = '[us]'", "n.gender = 'm' AND n.name LIKE '%n%'", "rt.role = 'actor'", "t.production_year >= 1976 AND t.production_year <= 1994"],
["(mc.note LIKE '%H%' OR mc.note LIKE '%S%')", "ci.note IN ('(uncredited)', '(as Sam Haveland)', '(chief puppeteer)', '(segment "Pride")', '(as Alan Penney)')", "cn.country_code = '[us]'", "n.gender = 'm' AND n.name LIKE '%n%'", "rt.role = 'actor'", "t.production_year >= 1969 AND t.production_year <= 1987"],
["(mc.note LIKE '%(%' OR mc.note LIKE '%(%')", "ci.note IN ('(uncredited)', '(as E. Fedorova)', '(as Barty Mullins)', '(as Chris Petersen)', '(as Anthony Pagola)')", "cn.country_code = '[us]'", "n.gender = 'm' AND n.name LIKE '%d%'", "rt.role = 'actor'", "t.production_year >= 1960 AND t.production_year <= 1965"],
["(mc.note LIKE '%1%' OR mc.note LIKE '%r%')", "ci.note IN ('(as Edward Bishop)', '(as Joseph Civera)', '(as Mara Hedrich)', '(family story)', '(as Chris Menaul)')", "cn.country_code = '[de]'", "n.gender = 'm' AND n.name LIKE '%B%'", "rt.role = 'actor'", "t.production_year >= 1964 AND t.production_year <= 1987"],
["(mc.note LIKE '%t%' OR mc.note LIKE '%)%')", "ci.note IN ('(uncredited)', '(eidophor operator)', '(dust busting)', '(as Paul Nash)', '(as Andrew)')", "cn.country_code = '[fr]'", "n.gender = 'm' AND n.name LIKE '%e%'", "rt.role = 'actor'", "t.production_year >= 1967 AND t.production_year <= 1993"],
["(mc.note LIKE '%8%' OR mc.note LIKE '%(%')", "ci.note IN ('(as Tonga Yociato)', '(watchman)', '(Defense Attorney)', '(as Don Mullally)', '(darkroom services)')", "cn.country_code = '[gr]'", "n.gender = 'm' AND n.name LIKE '%n%'", "rt.role = 'actor'", "t.production_year >= 1975 AND t.production_year <= 1994"],
["(mc.note LIKE '%n%' OR mc.note LIKE '%s%')", "ci.note IN ('(as Satyen Kappu)', '(video)', '(book "Doc")', '(as Oscar San Juan)', '(as Becky Lebeau)')", "cn.country_code = '[in]'", "n.gender = 'm' AND n.name LIKE '%S%'", "rt.role = 'actor'", "t.production_year >= 1976 AND t.production_year <= 1990"],
["(mc.note LIKE '%7%' OR mc.note LIKE '%(%')", "ci.note IN ('(as Bondy Esterhazy)', '(color)', '(animal consultant)', '(as Tamriko Bziava)', '(as bill Adler)')", "cn.country_code = '[us]'", "n.gender = 'm' AND n.name LIKE '%e%'", "rt.role = 'actor'", "t.production_year >= 1962 AND t.production_year <= 1980"],
["(mc.note LIKE '%A%' OR mc.note LIKE '%U%')", "ci.note IN ('(uncredited)', '(as Rafael Valdes)', '(gag consultant)', '(Angelique)', '(as Denise Chase)')", "cn.country_code = '[us]'", "n.gender = 'm' AND n.name LIKE '%n%'", "rt.role = 'actor'", "t.production_year >= 1962 AND t.production_year <= 1993"],
["(mc.note LIKE '%7%' OR mc.note LIKE '%n%')", "ci.note IN ('(voice) (uncredited)', '(as G.F. George)', '(as Anton Tyukodi)', '(as Raissa Danilov)', '(as Bob Paul)')", "cn.country_code = '[us]'", "n.gender = 'm' AND n.name LIKE '%m%'", "rt.role = 'actor'", "t.production_year >= 1960 AND t.production_year <= 1983"],
["(mc.note LIKE '%a%' OR mc.note LIKE '%7%')", "ci.note IN ('(as Qwave Dalton)', '(as Fritz Goforth)', '(as Vijaylakshmi)', '(as Raam-Laxman)', '(as Subhash)')", "cn.country_code = '[us]'", "n.gender = 'm' AND n.name LIKE '%e%'", "rt.role = 'actor'", "t.production_year >= 1963 AND t.production_year <= 1985"],
["(mc.note LIKE '%A%' OR mc.note LIKE '%U%')", "ci.note IN ('(uncredited)', '(as Luce BerthomÃ©)', '(as N. Rezon)', '(as Therese Steger)', '(as SzÃµke DÃ¡niel)')", "cn.country_code = '[us]'", "n.gender = 'm' AND n.name LIKE '%l%'", "rt.role = 'actor'", "t.production_year >= 1962 AND t.production_year <= 1981"],
["(mc.note LIKE '%c%' OR mc.note LIKE '%t%')", "ci.note IN ('(uncredited)', '(as Irena Sztyber)', '(Mickey)', '(as Nougzar Sharia)', '(as V. Bespalyj)')", "cn.country_code = '[fr]'", "n.gender = 'm' AND n.name LIKE '%m%'", "rt.role = 'actor'", "t.production_year >= 1965 AND t.production_year <= 1993"],
["(mc.note LIKE '%H%' OR mc.note LIKE '%)%')", "ci.note IN ('(as Cristoph Bretner)', '(as A. Alexandrov)', '(as Omshivpuri)', '(book "Son-Rise")', '(as Rebecca Soltau)')", "cn.country_code = '[us]'", "n.gender = 'm' AND n.name LIKE '%r%'", "rt.role = 'actor'", "t.production_year >= 1970 AND t.production_year <= 1994"],
["(mc.note LIKE '%)%' OR mc.note LIKE '%1%')", "ci.note IN ('(archive footage)', '(as Tantoo Martin)', '(#4) (1970)', '(as Isabelle Aymes)', '(as Happy Derman)')", "cn.country_code = '[us]'", "n.gender = 'm' AND n.name LIKE '%H%'", "rt.role = 'actor'", "t.production_year >= 1964 AND t.production_year <= 1991"],
["(mc.note LIKE '%T%' OR mc.note LIKE '%1%')", "ci.note IN ('(as Barry Ingham)', '(as Ramanesh Puri)', '(as Terry Urdang)', '(as Philly Howell)', '(as Amparo Ferrer)')", "cn.country_code = '[us]'", "n.gender = 'm' AND n.name LIKE '%g%'", "rt.role = 'actor'", "t.production_year >= 1981 AND t.production_year <= 1989"],
