["(mc.note LIKE '%USA%' OR mc.note LIKE '%DVD%')", "ci.note IN ('(writer)', '(voice)', '(creator)', '(executive producer)', '(outdoors)')", "cn.country_code = '[us]'", "n.gender = 'm' AND n.name LIKE '%Jamie%'", "rt.role = 'actor'", "t.production_year >= 2000 AND t.production_year <= 2003"],
["(mc.note LIKE '%DVD%' OR mc.note LIKE '%2006%')", "ci.note IN ('(voice)', '(production assistant)', '(supervising producer)', '(voice)', '(producer)')", "cn.country_code = '[fr]'", "n.gender = 'm' AND n.name LIKE '%Brian%'", "rt.role = 'actor'", "t.production_year >= 2001 AND t.production_year <= 2005"],
["(mc.note LIKE '%USA%' OR mc.note LIKE '%USA%')", "ci.note IN ('(voice)', '(head writer)', '(writer)', '(writer)', '(clip researcher)')", "cn.country_code = '[us]'", "n.gender = 'm' AND n.name LIKE '%Rob%'", "rt.role = 'actor'", "t.production_year >= 2001 AND t.production_year <= 2006"],
["(mc.note LIKE '%TV%' OR mc.note LIKE '%p%')", "ci.note IN ('(voice)', '(voice)', '(voice)', '(voice)', '(voice)')", "cn.country_code = '[us]'", "n.gender = 'm' AND n.name LIKE '%Michael%'", "rt.role = 'actor'", "t.production_year >= 1999 AND t.production_year <= 2004"],
["(mc.note LIKE '%2005%' OR mc.note LIKE '%TV%')", "ci.note IN ('(uncredited)', '(uncredited)', '(uncredited)', '(uncredited)', '(uncredited)')", "cn.country_code = '[us]'", "n.gender = 'm' AND n.name LIKE '%D%'", "rt.role = 'actor'", "t.production_year >= 2002 AND t.production_year <= 2004"],
["(mc.note LIKE '%p%' OR mc.note LIKE '%2005%')", "ci.note IN ('(uncredited)', '(production assistant)', '(producer)', '(uncredited)', '(uncredited)')", "cn.country_code = '[us]'", "n.gender = 'm' AND n.name LIKE '%Jeff%'", "rt.role = 'actor'", "t.production_year >= 2005 AND t.production_year <= 2006"],
["(mc.note LIKE '%2005%' OR mc.note LIKE '%TV%')", "ci.note IN ('(uncredited)', '(uncredited)', '(uncredited)', '(uncredited)', '(uncredited)')", "cn.country_code = '[us]'", "n.gender = 'm' AND n.name LIKE '%Michael%'", "rt.role = 'actor'", "t.production_year >= 2004 AND t.production_year <= 2004"],
["(mc.note LIKE '%USA%' OR mc.note LIKE '%as%')", "ci.note IN ('(voice)', '(voice)', '(voice)', '(voice)', '(voice)')", "cn.country_code = '[us]'", "n.gender = 'm' AND n.name LIKE '%Carlos%'", "rt.role = 'actor'", "t.production_year >= 2002 AND t.production_year <= 2006"],
["(mc.note LIKE '%USA%' OR mc.note LIKE '%DVD%')", "ci.note IN ('(voice: English version)', '(archive footage)', '(archive footage)', '(voice: English version)', '(voice: English version)')", "cn.country_code = '[us]'", "n.gender = 'm' AND n.name LIKE '%Gray%'", "rt.role = 'actor'", "t.production_year >= 1999 AND t.production_year <= 2003"],
["(mc.note LIKE '%worldwide%' OR mc.note LIKE '%Century%')", "ci.note IN ('(associate producer)', '(associate producer)', '(voice)', '(associate producer)', '(voice)')", "cn.country_code = '[us]'", "n.gender = 'm' AND n.name LIKE '%J%'", "rt.role = 'actor'", "t.production_year >= 2005 AND t.production_year <= 2006"],
["(mc.note LIKE '%2003%' OR mc.note LIKE '%2007%')", "ci.note IN ('(voice: English version)', '(voice: English version)', '(voice: English version)', '(voice: English version)', '(voice: English version)')", "cn.country_code = '[us]'", "n.gender = 'm' AND n.name LIKE '%Jon%'", "rt.role = 'actor'", "t.production_year >= 2003 AND t.production_year <= 2005"],
["(mc.note LIKE '%media%' OR mc.note LIKE '%media%')", "ci.note IN ('(uncredited)', '(archive footage)', '(producer)', '(co-executive producer)', '(creator)')", "cn.country_code = '[us]'", "n.gender = 'm' AND n.name LIKE '%Matt%'", "rt.role = 'actor'", "t.production_year >= 2004 AND t.production_year <= 2004"],
