["cn.country_code != '[fr]'", "cn.name LIKE '%British%'", "cn.name LIKE '%Program%'", "ct.kind = 'production companies'", "k.keyword = 'murder'", "lt.link LIKE '%r%'", "t.production_year > 1919", "t.production_year < 2002"],
["cn.country_code != '[bb]'", "cn.name LIKE '%National%'", "cn.name LIKE '%British%'", "ct.kind = 'production companies'", "k.keyword = 'murder'", "lt.link LIKE '%e%'", "t.production_year > 1998", "t.production_year < 2010"],
["cn.country_code != '[us]'", "cn.name LIKE '%Columbia%'", "cn.name LIKE '%Broadcasting%'", "ct.kind = 'production companies'", "k.keyword = 'sex'", "lt.link LIKE '%s%'", "t.production_year > 1977", "t.production_year < 2001"],
["cn.country_code != '[us]'", "cn.name LIKE '%Home%'", "cn.name LIKE '%Broadcasting%'", "ct.kind = 'production companies'", "k.keyword = 'sex'", "lt.link LIKE '%a%'", "t.production_year > 1953", "t.production_year < 1993"],
["cn.country_code != '[ht]'", "cn.name LIKE '%System%'", "cn.name LIKE '%Broadcasting%'", "ct.kind = 'production companies'", "k.keyword = 'character-name-in-title'", "lt.link LIKE '%l%'", "t.production_year > 1995", "t.production_year < 2006"],
["cn.country_code != '[th]'", "cn.name LIKE '%BBC%'", "cn.name LIKE '%Warner%'", "ct.kind = 'production companies'", "k.keyword = 'sex'", "lt.link LIKE '%referenced%'", "t.production_year > 2003", "t.production_year < 2011"],
["cn.country_code != '[hu]'", "cn.name LIKE '%Home%'", "cn.name LIKE '%a%'", "ct.kind = 'production companies'", "k.keyword = 'sex'", "lt.link LIKE '%of%'", "t.production_year > 1951", "t.production_year < 2001"],
["cn.country_code != '[fr]'", "cn.name LIKE '%Video%'", "cn.name LIKE '%m%'", "ct.kind = 'distributors'", "k.keyword = 'character-name-in-title'", "lt.link LIKE '%l%'", "t.production_year > 1995", "t.production_year < 2010"],
["cn.country_code != '[pg]'", "cn.name LIKE '%Warner%'", "cn.name LIKE '%Broadcasting%'", "ct.kind = 'production companies'", "k.keyword = 'female-nudity'", "lt.link LIKE '%r%'", "t.production_year > 1982", "t.production_year < 2007"],
["cn.country_code != '[us]'", "cn.name LIKE '%e%'", "cn.name LIKE '%NBC%'", "ct.kind = 'production companies'", "k.keyword = 'sex'", "lt.link LIKE '%in%'", "t.production_year > 2007", "t.production_year < 2014"],
["cn.country_code != '[tg]'", "cn.name LIKE '%Broadcasting%'", "cn.name LIKE '%Video%'", "ct.kind = 'distributors'", "k.keyword = 'independent-film'", "lt.link LIKE '%of%'", "t.production_year > 1972", "t.production_year < 1986"],
["cn.country_code != '[hk]'", "cn.name LIKE '%Video%'", "cn.name LIKE '%Film%'", "ct.kind = 'production companies'", "k.keyword = 'sex'", "lt.link LIKE '%t%'", "t.production_year > 1927", "t.production_year < 1997"],
["cn.country_code != '[de]'", "cn.name LIKE '%ABC%'", "cn.name LIKE '%NBC%'", "ct.kind = 'distributors'", "k.keyword = 'character-name-in-title'", "lt.link LIKE '%referenced%'", "t.production_year > 1990", "t.production_year < 2000"],
["cn.country_code != '[de]'", "cn.name LIKE '%Metro%'", "cn.name LIKE '%Company%'", "ct.kind = 'distributors'", "k.keyword = 'character-name-in-title'", "lt.link LIKE '%e%'", "t.production_year > 1964", "t.production_year < 2005"],
["cn.country_code != '[us]'", "cn.name LIKE '%Television%'", "cn.name LIKE '%National%'", "ct.kind = 'distributors'", "k.keyword = 'character-name-in-title'", "lt.link LIKE '%in%'", "t.production_year > 2001", "t.production_year < 2005"],
["cn.country_code != '[de]'", "cn.name LIKE '%Path̩%'", "cn.name LIKE '%British%'", "ct.kind = 'distributors'", "k.keyword = 'sex'", "lt.link LIKE '%referenced%'", "t.production_year > 1969", "t.production_year < 2007"],
["cn.country_code != '[us]'", "cn.name LIKE '%Company%'", "cn.name LIKE '%Pictures%'", "ct.kind = 'production companies'", "k.keyword = 'father-son-relationship'", "lt.link LIKE '%in%'", "t.production_year > 1942", "t.production_year < 2017"],
["cn.country_code != '[ky]'", "cn.name LIKE '%Broadcasting%'", "cn.name LIKE '%NBC%'", "ct.kind = 'production companies'", "k.keyword = 'murder'", "lt.link LIKE '%o%'", "t.production_year > 1997", "t.production_year < 2004"],
["cn.country_code != '[de]'", "cn.name LIKE '%National%'", "cn.name LIKE '%Warner%'", "ct.kind = 'distributors'", "k.keyword = 'character-name-in-title'", "lt.link LIKE '%e%'", "t.production_year > 1956", "t.production_year < 2011"],
["cn.country_code != '[de]'", "cn.name LIKE '%Fernsehen%'", "cn.name LIKE '%Broadcasting%'", "ct.kind = 'production companies'", "k.keyword = 'friendship'", "lt.link LIKE '%of%'", "t.production_year > 1936", "t.production_year < 2007"],
["cn.country_code != '[us]'", "cn.name LIKE '%Corporation%'", "cn.name LIKE '%American%'", "ct.kind = 'production companies'", "k.keyword = 'character-name-in-title'", "lt.link LIKE '%version%'", "t.production_year > 1988", "t.production_year < 1991"],
["cn.country_code != '[gg]'", "cn.name LIKE '%General%'", "cn.name LIKE '%Century%'", "ct.kind = 'production companies'", "k.keyword = 'based-on-novel'", "lt.link LIKE '%f%'", "t.production_year > 1977", "t.production_year < 2014"],
